Tweet ID,Tweet_Text,Information_Source,Information_Type,Informativeness,First_Responder,Disaster_Type,Secondary_Annotation
2.66E+17,Con todo mi #guatemala,Not labeled,Not labeled,Not related,Other,Earthquake,Other
2.66E+17,RT @Telediariogt: DEPORTES: arrancó segundo tiempo de juego en Mundial Futsal #Tailandia2012: #Rusia 6-0 #Guatemala. @MLorenzo_td,Not labeled,Not labeled,Not related,Other,Earthquake,Other
2.66E+17,#Guatemala : La plus ancienne tombe #Maya a été découverte http://t.co/LhOS8uD8,Not labeled,Not labeled,Not related,Other,Earthquake,Other
2.66E+17,La agrupación guatemalteca el @Tambordlatribu anunció presentaciones en Estados Unidos y México #Guatemala,Not labeled,Not labeled,Not related,Other,Earthquake,Other
2.66E+17,Se pudrió todo @cobreloa @hmarambi Palos es baja contra #sanmarcos y @Juegoypasion dice que Contreras se lesionó y jugará Acevedo. #cobreloa,Not labeled,Not labeled,Not related,Other,Earthquake,Other
2.66E+17,"RT @FUNVISIS: #Sismo:2012/11/06 14:24 (HLV), Mag. 3.1 Mw, a 28 Km al suroeste de San Cristobal (7.536 N,-72.322 W), prof. 16.6 Km",Media,Caution and advice,Related and informative,Other,Earthquake,Other
2.66E+17,"@FUNVISIS: #Sismo:2012/11/06 14:24 (HLV), Mag. 3.1 Mw, a 28 Km al suroeste de San Cristobal (7.536 N,-72.322 W), prof. 16.6 Km",Media,Caution and advice,Related and informative,Other,Earthquake,Other
2.66E+17,"Latino América en marcas, #Diseño de la marca país #Guatemala http://t.co/JmigZy2T #martesdemarcas",Not labeled,Not labeled,Not related,Other,Earthquake,Other
2.66E+17,RT @NANOMCDGREAT: Estamos #2 en lo más solicitado en #Guatemala con “EnMiSeFijo” de @NANOMCDGREAT por #RadioManati1015Fm pídelo vía msj  ...,Not labeled,Not labeled,Not related,Other,Earthquake,Other
2.66E+17,"RT @CNNEE: El presidente de #Guatemala @OttoPerezMolina es, hasta ahora, el único mandatario latinoamericano que felicitó a #Obama en Tw ...",Not labeled,Not labeled,Not related,Other,Earthquake,Other
2.66E+17,Posibles fechas de #MägodeOz: 8 de Febrero en #Guatemala. 14 de Marzo en #Chile (mismo día que Turisas...). 23 de Marzo en #Argentina.,Not labeled,Not labeled,Not related,Other,Earthquake,Other
2.66E+17,buenos dias con ese #temblorgt,Outsiders,Not applicable,Related - but not informative,Other,Earthquake,Other
2.66E+17,RT @tcsnoticias: Sismo fue sensible en la capital de Guatemala,Media,Infrastructure and utilities,Related and informative,Other,Earthquake,Other
2.66E+17,"Fuerte sismo sacude Guatemala, México y buena parte de Centroamèrica.",Outsiders,Other Useful Information,Related and informative,Other,Earthquake,Other
2.66E+17,Nada mejor que empezar el dia con un #temblor #sismo ...,Not labeled,Not labeled,Not related,Other,Earthquake,Other
2.66E+17,"Ooh @NewEarthquake: 7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter (6m ago, depth 33km). http://t.co/fosO1UT6",NGOs,Other Useful Information,Related and informative,Other,Earthquake,Other
2.66E+17,"RT @NewEarthquake: 7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter (6m ago, depth 33km). http://t.co/brZ8J9F9",Media,Other Useful Information,Related and informative,Other,Earthquake,Other
2.66E+17,Preliminar 6.35  del #sismo que se sintio hace unos momentos en el DF m,Not applicable,Other Useful Information,Related and informative,Other,Earthquake,Other
2.66E+17,"RT @prensa_libre: RT @NewEarthquake: 7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter (6m ago, depth 33km). ht ...",Media,Other Useful Information,Related and informative,Other,Earthquake,Other
2.66E+17,RT @axl90: La Tierra está surfeando #TemblorGt,Not labeled,Not labeled,Not related,Other,Earthquake,Other
2.66E+17,RT @amigosderafa: #sismo #Xalapa #Veracruz con precaución y tranquilidad por favor,Not applicable,Not applicable,Related - but not informative,Other,Earthquake,Other
2.66E+17,"@NewEarthquake: 7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter. http://t.co/YSzDJzN8 QUE GRUESO!",NGOs,Other Useful Information,Related and informative,Other,Earthquake,Other
2.66E+17,"@AugustoMejiaL: “@ReporteNi: #Temblor M 7.5, 49km SW of Champerico, Guatemala http://t.co/NROIHfx1” // Se sintio feo loco /:",Eyewitness,Infrastructure and utilities,Related and informative,Other,Earthquake,Other
2.66E+17,"#sismo en paseo de la reforma se sintio fuerte! Bolsa Mex y torre 265, evacuando",Not labeled,Not labeled,Not related,Other,Earthquake,Other
2.66E+17,"@NewEarthquake: 7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter (6m ago, depth 33km). O.o",Media,Other Useful Information,Related and informative,Other,Earthquake,Other
2.66E+17,"RT @NewEarthquake: 7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter (6m ago, depth 33km). http://t.co/brZ8J9F9",Media,Other Useful Information,Related and informative,Other,Earthquake,Other
2.66E+17,RT @PacificNPS: 7.5 Earthquake just struck off Pacific Coast of Guatemala: http://t.co/b0iuoPAz,Media,Other Useful Information,Related and informative,Other,Earthquake,Other
2.66E+17,"RT @NewEarthquake: 7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter (6m ago, depth 33km). http://t.co/brZ8J9F9",Outsiders,Other Useful Information,Related and informative,Other,Earthquake,Other
2.66E+17,"RT @uhprensagrafica: Sismo de 7.5 grados Richter es registrado en Champerico, Guatemala a las 10:35 a.m. http://t.co/V6oIBnrE",Media,Other Useful Information,Related and informative,Other,Earthquake,Other
2.66E+17,"RT @uhprensagrafica: Sismo de 7.5 grados Richter es registrado en Champerico, Guatemala a las 10:35 a.m. http://t.co/V6oIBnrE",Media,Other Useful Information,Related and informative,Other,Earthquake,Other
2.66E+17,"RT @NewEarthquake: 7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter (6m ago, depth 33km). http://t.co/brZ8J9F9",Media,Other Useful Information,Related and informative,Other,Earthquake,Other
2.66E+17,"RT @CNNEE: URGENTE: #Sismo de magnitud 7,5 sacude #Guatemala http://t.co/yDRsOrLf",Media,Other Useful Information,Related and informative,Other,Earthquake,Other
2.66E+17,"RT @NewEarthquake: 7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter (6m ago, depth 33km). http://t.co/brZ8J9F9",Media,Other Useful Information,Related and informative,Other,Earthquake,Other
2.66E+17,"RT @ItsCarloss_: 7,5° #TemblorGt",Outsiders,Other Useful Information,Related - but not informative,Other,Earthquake,Other
2.66E+17,RT @SkyAlertMx: Al parecer el sismo fue en la frontera con Guatemala. 7.5 es el nuevo preliminar. #SismoEnVivo,Media,Other Useful Information,Related and informative,Other,Earthquake,Other
2.66E+17,RT @noXforU: EIL +++ Sehr starkes #Erdbeben in #Guatemala  (Erste Magnitude - automatisch: 7.5 (49km SW of Champerico),Outsiders,Other Useful Information,Related and informative,Other,Earthquake,Other
2.66E+17,"RT @CNNEE: URGENTE: #Sismo de magnitud 7,5 sacude #Guatemala http://t.co/yDRsOrLf",Media,Other Useful Information,Related and informative,Other,Earthquake,Other
2.66E+17,"RT @NewEarthquake: 7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter (6m ago, depth 33km). http://t.co/brZ8J9F9",NGOs,Caution and advice,Related and informative,Other,Earthquake,Other
2.66E+17,"RT @CNNMex: Un #temblor de 7.3 grados con epicentro en #Chiapas se siente el sur de #México, #Guatemala y El #Salvador  http://t.co/92nCUNEi",Media,Other Useful Information,Related and informative,Other,Earthquake,Other
2.66E+17,"RT @SismologicoMEX: #SISMO RECUERDE: NO grite, NO corra, NO empuje, y diríjase a una zona segura. #OAXACA  #MEXICO #EDOMEX #DF #CHIAPAS",Government,Caution and advice,Related - but not informative,Other,Earthquake,Other
2.66E+17,RT @ANCALERTS: Magnitude 7.3 earthquake hits off Guatemala's Pacific coast - USGS | via @Reuters,Media,Other Useful Information,Related and informative,Other,Earthquake,Other
2.66E+17,RT @CNNEE: El #sismo de #Guatemala también sacudió #ElSalvador y #México: http://t.co/yDRsOrLf,Media,Other Useful Information,Related and informative,Other,Earthquake,Other
2.66E+17,RT @BBCBreaking: Magnitude 7.5 earthquake strikes off Guatemala's Pacific Coast. No Tsunami warning issued. Details soon http://t.co/E3b ...,Media,Other Useful Information,Related and informative,Other,Earthquake,Other
2.66E+17,Impactantes imágenes de la devastación luego del temblor #TemblorGT http://t.co/l59X7nde,Outsiders,Other Useful Information,Related and informative,Other,Earthquake,Other
2.66E+17,El #sismo de #Guatemala también sacudió #ElSalvador y #México: http://t.co/vZSVoCCY,Outsiders,Other Useful Information,Related and informative,Other,Earthquake,Other
2.66E+17,"RT @inocarec: #Sismo en #México de 7.5 grados, no provoca alerta de #tsunami para costas de #Ecuador y #Galápagos.",Outsiders,Other Useful Information,Related and informative,Other,Earthquake,Other
2.66E+17,RT @CNNEE: El #sismo de #Guatemala también sacudió #ElSalvador y #México: http://t.co/yDRsOrLf,Media,Other Useful Information,Related and informative,Other,Earthquake,Other
2.66E+17,RT @Luisaa_Madrid: ¿Quién sintió un aguadamiento con el #TemblorGT? Ü/,Eyewitness,Not applicable,Related - but not informative,Other,Earthquake,Other
