Tweet ID,Tweet_Text,Information_Source,Information_Type,Informativeness,First_Responder,Disaster_Type,Secondary_Annotation
2.03E+17,E #Navelli... a che punto siamo? Dov'è il piano di #ricostruzione? #laquila #sisma #terremoto http://t.co/z7ZO4wQ8,Outsiders,Other Useful Information,Related - but not informative,Other,Earthquake,Other
2.04E+17,"RT @andmarini: #Modena Strage di Brindisi, alle 18 presidio al Sacrario. A mezzanotte minuto di silenzio al... http://t.co/boE09BWv @gaz ...",Not labeled,Not labeled,Not related,Other,Earthquake,Other
2.04E+17,#Terremoto ! in alto si sente parecchio,Outsiders,Sympathy and support,Related - but not informative,other,Earthquake,Other
2.04E+17,Inequivocabilmente questa era una scossa di #terremoto,Eyewitness,Sympathy and support,Related - but not informative,other,Earthquake,Other
2.04E+17,#terremoto #busto #arsizio ore 04.7,Eyewitness,Not applicable,Related - but not informative,other,Earthquake,Other
2.04E+17,"“@perugini: 44.956°N, 11.241°E - 4.2 Magnitudo - Nord ITalia #terremoto http://t.co/Er9s2Pu2”questo e'quello dell'1:13",Eyewitness,Other Useful Information,Related and informative,other,Earthquake,Other
2.04E+17,"RT @Reuters: BREAKING NEWS: 6.3 magnitude earthquake strikes northwest of Bologna, Italy: USGS",Media,Other Useful Information,Related and informative,police/firefighter/ems,Earthquake,Dispatch/USAR/MMU
2.04E+17,"RT @Reuters: BREAKING NEWS: 6.3 magnitude earthquake strikes northwest of Bologna, Italy: USGS",Media,Other Useful Information,Related and informative,police/firefighter/ems,Earthquake,Dispatch/USAR/MMU
2.04E+17,RT @silla995: Fokka la bindella il #terremoto,Eyewitness,Not applicable,Related - but not informative,other,Earthquake,Other
2.04E+17,"RT @Reuters: BREAKING NEWS: 6.3 magnitude earthquake strikes northwest of Bologna, Italy: USGS",Media,Other Useful Information,Related and informative,police/firefighter/ems,Earthquake,Dispatch/USAR/MMU
2.04E+17,RT @pciuccarelli: #terremoto #map http://t.co/DMeBnXEE,Media,Caution and advice,Related and informative,other,Earthquake,Other
2.04E+17,"RT @USGSted: Strong earthquake, NORTHERN ITALY, May-20 02:03 UTC, 261 #terremoto tweets/min,  http://t.co/0FKAcV05",Media,Caution and advice,Related and informative,police/firefighter/ems,Earthquake,Dispatch/USAR/MMU
2.04E+17,Oddio #terremoto.  L'ho sentito solo io alle 4 del mattino?,Eyewitness,Sympathy and support,Related - but not informative,other,Earthquake,Other
2.04E+17,10 secondi di forti scosse di terremoto a Vignola di Modena alle 04.00,Eyewitness,Affected individuals,Related and informative,other,Earthquake,Other
2.04E+17,"#terremoto i hate dancing at 4 am, so I never go to clubs. Then you wake up and your bed, doors and whole building are dancing with you. O.o",Eyewitness,Affected individuals,Related - but not informative,other,Earthquake,Other
2.04E+17,"ilpost Il terremoto in provincia di Modena: Secondo l’agenzia di stampa Reuters, la scossa sarebbe stata di magn... http://t.co/4dBk6gPX",Media,Other Useful Information,Related and informative,other,Earthquake,Other
2.04E+17,RT @Corriereit: #Terremoto avvertito nel Nord sull'asse Emilia-Veneto @Corriereit,Media,Other Useful Information,Related and informative,other,Earthquake,Other
2.04E+17,Arriva prima su #twitter che da altri parti la notizia del #terremoto. Che scorlo cio'!!,Outsiders,Other Useful Information,Related - but not informative,other,Earthquake,Other
2.04E+17,grazie a twitter non mi sento più sola #terremoto ma sto ancora tremando di paura :/,Eyewitness,Sympathy and support,Related - but not informative,other,Earthquake,Other
2.04E+17,"【#USGS #alert】 5.9 - NORTHERN ITALY: Date: Sun, 20 May 2012 02:03:53 UTC Lat/Lon:... http://t.co/2xI9nHkc #earthquake #tsunami #zuto",Not labeled,Not labeled,Not related,other,Earthquake,Other
2.04E+17,@Selenelios #umorismomacabroscadente #terremoto io ho sgridato il cane che dorme sotto il letto..,Not labeled,Not labeled,Not related,other,Earthquake,Other
2.04E+17,"RT @Reuters: 5.9-magnitude earthquake strikes near Bologna, Italy  (the earthquake had initially registered at magnitude 6.3) http://t.c ...",Media,Caution and advice,Related and informative,other,Earthquake,Other
2.04E+17,"RT @Zebbolo: Magnitudo 5.9 gradi Richter, epicentro a 40km a nord di Bologna. #terremoto",Media,Other Useful Information,Related and informative,other,Earthquake,Other
2.04E+17,@diedigi @stefanobandera i 3 fanatici del #terremoto :) #vogliodormire,Outsiders,Not applicable,Related - but not informative,other,Earthquake,Other
2.04E+17,RT @lucad1: #terremoto visto da twitter #norditalia http://t.co/nZTw0OT7,Media,Other Useful Information,Related and informative,other,Earthquake,Other
2.04E+17,#terremoto emiliano. Piadina con la scossadella.,Not labeled,Not labeled,Not related,other,Earthquake,Other
2.04E+17,"RT @ilpost: C’è stato un terremoto nel nord Italia, avvertito a Milano, Bologna, Torino e Verona: magnitudo 6.3:  http://t.co/CetVJuv0",Media,Other Useful Information,Related and informative,other,Earthquake,Other
2.04E+17,Pensavo di aver mangiato pesante... Invece no #terremoto,Eyewitness,Other Useful Information,Related - but not informative,other,Earthquake,Other
2.04E+17,"RT @ElDatoDelDia: #Terremoto de 6.3 azotó el noroeste de Bologna, Italia http://t.co/jv6aRTf3",Media,Other Useful Information,Related and informative,other,Earthquake,Other
2.04E+17,"RT @gluca: enorme scossa di #terremoto ORA #modena #sanfelice. pare che le case siano ok, interni case distrutti. gente in strada. http: ...",Eyewitness,Infrastructure and utilities,Related and informative,other,Earthquake,Other
2.04E+17,RT @kekkoz: Record di ascolti per la lezione su Estimo e Teorie della Valutazione che stanno dando su Raidue. #terremoto,Not labeled,Not labeled,Not related,other,Earthquake,Other
2.04E+17,"RT @Reuters: 5.9-magnitude earthquake strikes near Bologna, Italy  (the earthquake had initially registered at magnitude 6.3) http://t.c ...",Media,Other Useful Information,Related and informative,police/firefighter/ems,Earthquake,Dispatch/USAR/MMU
2.04E+17,#terremoto e' per caso caduto il governo? #sischerza,Not labeled,Not labeled,Not related,other,Earthquake,Other
2.04E+17,#terremoto #venezia Non ho più avvertito scosse,Eyewitness,Caution and advice,Related - but not informative,other,Earthquake,Other
