Tweet ID,Tweet_Text,Information_Source,Information_Type,Informativeness,First_Responder,Disaster_Type,Secondary_Annotation
2.31E+17,Philippine floods worsen as death toll hits 14 in wake of ‘Gener’ http://t.co/gnhkYRS6 #Philippines #national,Media,Affected individuals,Related and informative,Other,Floods,Other
2.31E+17,RT @gmanews: Philippine floods worsen as death toll hits 14 in wake of ‘Gener’ http://t.co/I4Fjtg95,Media,Affected individuals,Related and informative,Other,Floods,Other
2.31E+17,Philippine flood fatalities hit 23 http://t.co/1aukg7RA,Media,Other Useful Information,Related and informative,Other,Floods,Other
2.32E+17,"4 Luzon dams release water; flood warning up: MANILA, Philippines - Four dams in Luzon opened their gates Sunday... http://t.co/kmWDCBFw",Media,Caution and advice,Related and informative,Other,Floods,Other
2.32E+17,RT @ANCALERTS: PAGASA 8:50pm advisory: Yellow warning for Metro Manila. Occasional heavy rains in next 3 hrs. Floods possible.,Media,Caution and advice,Related and informative,Other,Floods,Other
2.32E+17,@ANCALERTS: PAGASA 8:50pm advisory: Yellow warning for Metro Manila. Occasional heavy rains in next 3 hrs. Floods possible.,Media,Caution and advice,Related and informative,Other,Floods,Other
2.32E+17,RT @ANCALERTS: PAGASA 8:50pm advisory: Yellow warning for Metro Manila. Occasional heavy rains in next 3 hrs. Floods possible.,Media,Caution and advice,Related and informative,Other,Floods,Other
2.32E+17,RT @ANCALERTS: PAGASA 8:50pm advisory: Yellow warning for Metro Manila. Occasional heavy rains in next 3 hrs. Floods possible.,Media,Caution and advice,Related and informative,Other,Floods,Other
2.32E+17,RT @ANCALERTS: PAGASA 8:50pm advisory: Yellow warning for Metro Manila. Occasional heavy rains in next 3 hrs. Floods possible.,Media,Caution and advice,Related and informative,Other,Floods,Other
2.32E+17,RT @ANCALERTS: PAGASA 10pm advisory: Green warning for Metro Manila. Moderate-heavy rains in next 3 hrs. Threat of floods in low-lying a ...,Media,Caution and advice,Related and informative,Other,Floods,Other
2.32E+17,RT @ANCALERTS: UP Manila admin &amp; officials will monitor rain&amp;flood situation til 4am. Announcements will be made at the latest 5 ...,Media,Caution and advice,Related and informative,Other,Floods,Other
2.32E+17,RT @ANCALERTS: PAGASA 4am advisory: Green warning for Metro Manila. Moderate-heavy rains in next 3 hrs. Threat of floods in low-lying ar ...,Government,Caution and advice,Related and informative,Other,Floods,Other
2.32E+17,RT @PHLNewsOnline: [ANC]  PAGASA 4am advisory: Green warning for Metro Manila. Moderate-heavy rains in next 3 hrs. Threat of floods... h ...,Media,Caution and advice,Related and informative,Other,Floods,Other
2.32E+17,RT @ANCALERTS: PAGASA 5pm advisory: Green warning for Metro Manila. Heavy-intense rains in next 3 hrs. Threat of floods in low-lying are ...,Media,Caution and advice,Related and informative,Other,Floods,Other
2.32E+17,RT @ANCALERTS: PAGASA 5pm advisory: Green warning for Metro Manila. Heavy-intense rains in next 3 hrs. Threat of floods in low-lying are ...,Media,Caution and advice,Related and informative,Other,Floods,Other
2.32E+17,"“@ANCALERTS: PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers.”",Media,Caution and advice,Related and informative,Other,Floods,Other
2.32E+17,"RT @ANCALERTS: PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers.",Media,Caution and advice,Related and informative,Other,Floods,Other
2.32E+17,"RT @ANCALERTS: PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers.",Media,Caution and advice,Related and informative,Other,Floods,Other
2.32E+17,"‎​PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers.",Government,Caution and advice,Related and informative,Other,Floods,Other
2.33E+17,"If floods end up banging up my Manila badly, considering running charity shirt drive. @rutrivera @aurockslikewhoa game?",NGOs,Donations and volunteering,Related and informative,Other,Floods,Other
2.33E+17,"RT @ANCALERTS: PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near ...",Media,Caution and advice,Related and informative,Other,Floods,Other
2.33E+17,"RT @ANCALERTS: PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near ...",Media,Caution and advice,Related and informative,Other,Floods,Other
2.33E+17,"RT @ANCALERTS: PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near ...",Media,Caution and advice,Related and informative,Other,Floods,Other
2.33E+17,RT @ANCALERTS: PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods ... http://t.co/j9ubEbKE,Media,Caution and advice,Related and informative,Other,Floods,Other
2.33E+17,"PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers. #TVDPHFamily",Government,Caution and advice,Related and informative,Other,Floods,Other
2.33E+17,"RT @KakanTuring: http://t.co/EvvpuBse The Great Manila Flood of '72, as recalled by a US Peace Corps volunteer",Eyewitness,Donations and volunteering,Related and informative,Other,Floods,Other
2.33E+17,"it's already Aug 7, around 6 am Manila time.. Rains flood our country.. it's @DavidArchie's day also, BEGIN is out now!",Eyewitness,Caution and advice,Related and informative,Other,Floods,Other
