Tweet ID,Tweet_Text,Information_Source,Information_Type,Informativeness,First_Responder,Disaster_Type,Secondary_Annotation,,,,,,
2.72E+17,HOY es nuestro dia @Maria_21_music  #nerea #andres  #diego #gonzalo #elena #jaime #sergio #pablo #anxo,Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.72E+17,Yeahh yeahh esa jenga @alejandroalija @Telarera #tocayo #pablo http://t.co/peCCcDlq,Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.73E+17,a Mãe do meu amigo #Pablo. morreu :( ta muito tenso o clima...,Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.73E+17,Madrinas y apadrinados #SantaCecilia2012 @Carmen_Oboe @juanandres2307 #Pablo http://t.co/q92sofna,Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.73E+17,11-26-12 | E-Games Attendant | Chada Bingo House | Cagayan de Oro http://t.co/aepte8Im #CDO,Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.73E+17,#el #cumpleaños #de #pablo #escobar #my #dad #birthday #celebration 😀 http://t.co/R5O7L48h,Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.73E+17,"St Scholastica's College, Manila suspends classes according to Sr. Tammy Prado, OSB. #WalangPasok",NGOs,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.73E+17,RT @weevo #dynamic #designed #QRCode for #CDO #Expandere #Italy | #QR http://t.co/Bkq90a59 http://t.co/XhJONS5H,Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.73E+17,En el curso de primeros auxilios con @mvallvey @Tore_Baza95 @drecouvreur #alvaro y #pablo,Not labeled,Not labeled,Not applicable,Other,Typhoon,Other,,,,,,
2.73E+17,Que grandes @emaemail27 @Ciropee #pablo http://t.co/HWwvlJWH,Not labeled,Not labeled,Not applicable,Other,Typhoon,Other,,,,,,
2.74E+17,RT @ChandlerGalt: Why CIOs May Morph Into the Chief Digital Officer http://t.co/RtVdo8Nz H/T @TylerBParsons #CIO #CTO #CDO,Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.74E+17,"#pablo,o vienes ya o te quedas sin hermana a causa de una hipotermia. Tengo friooooo!",Not labeled,Not labeled,Not applicable,Other,Typhoon,Other,,,,,,
2.74E+17,Quiero que #Clemente le diga lo que le dijo la vieja de #Pablo y #Augusto a #Loli y que despues se muera.,Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.74E+17,"RT @JaviiBaezaMarti #CosasQueNoOlvidareDel2012 a @GarciaClaudia13 @JJ_lucia_RM @Kissa_versets #Pablo , #miriam, #angel ....",Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.74E+17,RT @jcordon5: Esperan su oportunidad en el banco @S_Talavante @adriwrc92 @jcordon5 #pablo y #david,Not labeled,Not labeled,Not applicable,Other,Typhoon,Other,,,,,,
2.74E+17,Haoraa #pablo hee vailariim !! :p,Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.74E+17,RT @ZaniniGermano: #Forgreen LIfe.Il mio plauso a Bernhard SCHOLZ presidente#CDO.Al centro delle#imprese moderne?La PASSIONE delle PERSO ...,Not labeled,Not labeled,Not applicable,Other,Typhoon,Other,,,,,,
2.74E+17,Je viens de voir la #PP de #Pablo ! En Mode Terroriste Gucci !,Not labeled,Not labeled,Not applicable,Other,Typhoon,Other,,,,,,
2.74E+17,We're tracking Typhoon #Bopha as it heads towards the #Philippines.  #WCPFC starts on Sunday and will be discussing #tuan and #sharks,Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.74E+17,"After conquering those 21 rapids, zip lineS nman and THE drop. May problema ksi ko sa pag ibig. HAHAHA #CDO #Bukidnon",Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.74E+17,[NEWS] Typhoon Bopha is forecast to strike the Philippines at about 15:00 GMT on 4 ... - Reuters AlertNet (blog) | R... http://t.co/UjUK7RGL,Media,Caution and advice,Related and informative,Police,Typhoon,Dispatch,,,,,,
2.74E+17,"RT @AlagadNiSenyora: “@24_Oras: Typhoon Bopha, posibleng maging sinlakas ng Bagyong Sendong kapag pumasok sa PAR ngayong Linggo. Ingitt ...",Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @Alice_Olsen: Con @aranchaaguado #Javi  @AlvaroCortes20 #Ali #pablo #Nacho @MartaFedzHervas @alex_lopez_99 y @JuliaMoralesM armandola ...,Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.75E+17,Wag nmn sana tumuloy ung bagyong c #pablo wag sirain ang pasko pls lng ha.,Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.75E+17,"#Pablo no quita el maldito aire que me esta soplando en la cara, tengo una calor agobiante ¬¬",Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.75E+17,#Weather Update: Visayas will be greatly affected by Typhoon Bopha(TY Pablo). It might make landfall over Bohol on Tuesday |via @seph_ubalde,Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,The Watchers - Tropical Storm Bopha upgraded to typhoon http://t.co/VB8TNzyC via @TheWatchers_,Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"RT @ClimaMundial: via @sijoroma: Ciclón activo: Tifón #Bopha, Pacífico Oeste y posible Ciclón INVESt 91L, Atlántico Central http://t.co/ ...",Not applicable,Not applicable,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @jorgegb21: A echar un tute para pasar la noche con @AlejandroAvils @DanielAbelGT8 y #pablo http://t.co/ihIWOwRf,Not labeled,Not labeled,Not applicable,Other,Typhoon,Other,,,,,,
2.75E+17,Expected track of Typhoon Bopha in the next 24-72 hrs. Will be a Category 4 storm in 48hrs and in the PAR in 72hrs. http://t.co/qRrnhnHb,Media,Caution and advice,Related and informative,Police,Typhoon,Dispatch,,,,,,
2.75E+17,"RT @DavaoToday: http://t.co/KJUzhbu4's @exel662003 @adlopez46 covers #Manilakbayan, a journey from #Mindanao to #Manila",Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.75E+17,Another typhoon named internationally as  #BOPHA will hit #Southern #Mindanao. It will be named #Pablo in RP. Oh noooooes!!,Outsiders,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @dost_pagasa: Typhoon BOPHA Satellite image as of 01/DEC/12 06:30PM http://t.co/TEjX5fxY,Government,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,RT @kevinhenao3: Real#pablo escobar!! 😉 http://t.co/lZfFctze,Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.75E+17,RT @dost_pagasa: Typhoon BOPHA Satellite image as of 01/DEC/12 07:30PM http://t.co/SITTaEUO,Government,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,Con #pablo a león :D,Not labeled,Not labeled,Not related,Other,Typhoon,Other,,,,,,
2.75E+17,Asi nos lo montamos @FeerAnton @Danii8Lopez #Alvaro #Pablo http://t.co/F0eYQyry,Not labeled,Not labeled,Not applicable,Other,Typhoon,Other,,,,,,
2.75E+17,Disturbing news: Typhoon Pablo will make landfall in Mindanao. Ulan pud dha sa ato @medic_85 ? Waaahhhh,Outsiders,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,Typhoon Bopha is about 310 km east of the Phil Area of Responsibility moving at 26kph. Should be within PAR by dinnertime. #centennialatfest,Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,Sunny Sunday. ♥ we're hoping typhoon Pablo won't hit our shores.,Outsiders,Sympathy and support,Related - but not informative,Other,Typhoon,Other,,,,,,
2.75E+17,"RT @ANCALERTS Typhoon “Bopha” is forecasted to make landfall in eastern part of Visayas, Mindanao on Tuesday, Dec 4 (via Joint (cont…",Media,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"RT @tjmanotoc: Typhoon Pablo to hit PHILIPPINES on Tuesday, forecast to be stronger than Sendong! Be safe &amp; prepared! http://t.co/iY ...",Outsiders,Caution and advice,Related and informative,Police,Typhoon,Dispatch,,,,,,
2.75E+17,RT @PinoyWeather: WEATHER:  JTWC estimated that Typhoon Bopha may make landfall in the vicinity of Butuan and Surigao.,Media,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,#ityphoonapp forecast track of super typhoon Bopha. It's boy scout time.  http://t.co/3gWpfC9R http://t.co/CA8AGMWT http://t.co/MY2mtirk,Outsiders,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"via @sijoroma: Ojo del Tifón #Bopha gracias al Satelite Terra HD, Sistema MODIS NASA. 01/12/2012 01:00UTC http://t.co/O3cqYHYa",Not applicable,Caution and advice,Related and informative,Other,Typhoon,Other,,,,,,
2.75E+17,"http://t.co/E2URrfLE and the Bukidnon Bloggers @bukidnonblogger will post updates re: Typhoon #Pablo - let's be prepared, guys #PabloPH",Eyewitness,Other Useful Information,Related and informative,Other,Typhoon,Other,,,,,,
