Tweet ID,Tweet_Text,Information_Source,Information_Type,Informativeness,First_Responder,Disaster_Type,Secondary_Annotation
2.39E+17,Entre mal estado de Plantas Josefa Camejo y Planta Centro sin Planta Tucacas #Falcon muy mal #sinluz http://t.co/Kt0AFg2O,Not labeled,Not labeled,Not related,Other,Explosion,Other
2.39E+17,vía @vicky_joseph: Privan de libertad a hombre en #Falcón por la muerte de su cónyuge. Le causó varias heridas con un arma blanca.,Not labeled,Not labeled,Not related,Other,Explosion,Other
2.39E+17,RT @correoorinoco: Ministerio público realiza seminario sobre municipalización de la justicia en #Falcon http://t.co/M3fnXDAv #Zulia #Ve ...,Not labeled,Not labeled,Not related,Other,Explosion,Other
2.39E+17,"RT @JIMotaO: Señor pedimos tu paz para esta tierra,#Paraguana paz para mi ciudad, paz para la gente, paz para #Venezuela.",Not labeled,Not labeled,Not related,Other,Explosion,Other
2.39E+17,"Elias Jaua: Fuga de gas generó explosión en refinería de Amuay, dejando 26 muertos y más 86 heridos.",Government,Affected individuals,Related and informative,Other,Explosion,Other
2.39E+17,"Hoy Falcon amaneció con tristezas y luto, por la fuerte explosión en Amuay, refinería de la península de Paraguaná :(",Outsiders,Sympathy and support,Related - but not informative,Other,Explosion,Other
2.39E+17,VIDEO: Blast hits Venezuelan oil refinery,Outsiders,Not applicable,Related and informative,Firefighter/Police,Explosion,HAZMAT
2.39E+17,RT @PuntoFijoGuia: Estamos para servirte #Puntofijo #Falcon #Paraguana si deseas hacer llegar información sobre centros de acopio o volu ...,Outsiders,Not applicable,Related - but not informative,Other,Explosion,Other
2.39E+17,Este tweet va dedicado a esos 24 Venezolanos que perdieron la vida #Amuay,Outsiders,Sympathy and support,Related - but not informative,Other,Explosion,Other
2.39E+17,RT @manuelsantanam: Fuerza Punto Fijo! Desde el estado #Monagas nuestra solidaridad con nuestros hermanos de #Falcon,Outsiders,Sympathy and support,Related - but not informative,Other,Explosion,Other
2.39E+17,"El accidente de Amuay es lamentable, mis condolencias y apoyo a ese pueblo que una vez integre como personal de esa refineria",Outsiders,Sympathy and support,Related - but not informative,Other,Explosion,Other
2.39E+17,RT @RunRunesWeb: #Top Fotos impactantes de la tragedia en la Refinería de Amuay. - http://t.co/tx7AM0d0,Media,Other Useful Information,Related and informative,Other,Explosion,Other
2.39E+17,"---»RT @Maricle: Para quienes conocemos la refinería de Amuay y las barriadas en sus alrededores, la ... http://t.co/BMdV3HX6",Outsiders,Infrastructure and utilities,Related - but not informative,Other,Explosion,Other
2.39E+17,RT @JessiDuno Lamentable q a más d 12hrs d la tragedia en #Amuay aún no hayan declaraciones serias y responsables del Estado,Outsiders,Other Useful Information,Related - but not informative,Other,Explosion,Other
2.39E+17,"RT @mundoconsola: Por lo sucedido en #Falcón nuestra tienda en @tusambil #Paraguaná NO abrirá el día de hoy, ¡Colaboraremos en el centro ...",Outsiders,Sympathy and support,Related - but not informative,Other,Explosion,Other
2.39E+17,"Toda Vzla paralizada con la gran tragedia de larefineria de #Amuay, muchas fuerzas a todas esas familias de los fallecidos...",Outsiders,Sympathy and support,Related - but not informative,Other,Explosion,Other
2.39E+17,@adncali:24 personas murieron en explosión de una refinería en Venezuela. Al menos otras 80 personas resultaron heridas http://t.co/iQEZF82O,Media,Affected individuals,Related and informative,Other,Explosion,Other
2.39E+17,RT @noticias24: Nuevas imágenes diurnas de la tragedia en la refinería Amuay (actualizado con agencias) - http://t.co/WCuqkoxZ,Media,Other Useful Information,Related and informative,Other,Explosion,Other
2.39E+17,RT @alcaldeledezma: Me pronuncié sobre #Amuay desde #Carapita donde estamos apoyando a familias afectadas por las lluvias! http://t.co/x ...,Government,Other Useful Information,Related - but not informative,Other,Explosion,Other
2.39E+17,Que mas sera necesario para aprender y trascender señor mio!!! #Amuay,Not labeled,Not labeled,Not related,Other,Explosion,Other
2.39E+17,Another reason to go #renewable. God Bless Them RT @CleanEnergyView: Blast at Venezuela's Lgst Oil Refinery Kills 24 http://t.co/fjL7FbuC,Outsiders,Affected individuals,Related and informative,Other,Explosion,Other
2.39E+17,RT @testoysiguiendo: Pero no les garantizaba la vida... Esta era la propaganda de Chávez que estaba en #Amuay (Foto) http://t.co/6OrXjLE ...,Not labeled,Not labeled,Not related,Other,Explosion,Other
2.39E+17,Blast halts Venezuela refinery http://t.co/XQqkwafY,Media,Other Useful Information,Related and informative,Firefighter/Police,Explosion,Dispatch/HAZMAT
2.39E+17,RT @Forbes: Venezuela Refinery Blast Kills 24 http://t.co/VNt4VuAY,Media,Affected individuals,Related and informative,Police/EMS/Firefighter,Explosion,Dispatch/HAZMAT/MMU
2.39E+17,RT @la_patilla: Decretados tres días de duelo nacional por la tragedia en refinería de Amuay http://t.co/yPG22Rb2,Media,Other Useful Information,Related and informative,Other,Explosion,Other
2.39E+17,RT @UNoticias: Suspendidos vuelos comerciales a Falcón #Amuay http://t.co/W8ym7aEA,Media,Other Useful Information,Related and informative,Other,Explosion,Other
2.39E+17,"RT @Marihelys_fcy: La explosión en #Amuay , no se debió a fuga de gas. SE ORIGINÓ POR FUGA DE CEREBROS EN MATERIA PETROLERA.. @LORENT_ ...",Outsiders,Not applicable,Related - but not informative,Other,Explosion,Other
2.39E+17,RT @osoteldo: CNE Suspende simulacro de votación debido a recientes hechos en #Amuay,Outsiders,Other Useful Information,Related - but not informative,Other,Explosion,Other
2.39E+17,"Lamentable lo ocurrido en la Refinería de Amuay, y sobretodo las perdidas Humanas, otra de las grandes Obras de esta Nesfasta Rebolucion !!",Outsiders,Sympathy and support,Related - but not informative,Other,Explosion,Other
2.39E+17,"Desde nuestros hogares unidos en una plegaria de Amor, te rogamos Padre por nuestra Venezuela, ten Misericordia de nosotros. #Amuay",Outsiders,Sympathy and support,Related - but not informative,Other,Explosion,Other
2.39E+17,RT @Reuters: Explosion kills 26 at Venezuela's biggest refinery http://t.co/OzUCWXbi,Media,Affected individuals,Related and informative,EMS/Firefighter,Explosion,HAZMAT/MMU
2.39E+17,Presidente de #Bolivia Evo Morales expresa solidaridad con el presidente #Chávez por víctimas en explosión de refinería #Amuay,Outsiders,Sympathy and support,Related - but not informative,Other,Explosion,Other
2.39E+17,RT @PDVSA: PDVSA garantiza suministro de combustible tras explosión en Amuay http://t.co/5WVlqyZt #Amuay,Government,Other Useful Information,Related and informative,Other,Explosion,Other
2.39E+17,Garanticen que no Exploten Plantas RT @PDVSA: PDVSA garantiza suministro de combustible tras explosión en Amuay http://t.co/PyK7S09v #Amuay,Business,Other Useful Information,Related and informative,Other,Explosion,Other
2.39E+17,"RT @Marihelys_fcy: La explosión en #Amuay , no se debió a fuga de gas. SE ORIGINÓ POR FUGA DE CEREBROS EN MATERIA PETROLERA.. @LORENT_ ...",Outsiders,Other Useful Information,Related - but not informative,Other,Explosion,Other
2.39E+17,"La verdad me importa muy poco Neil Armstrong, era un ser humano y como todos mueren, y más a su edad,ahora lo de #Amuay eso SÍ es importante",Outsiders,Other Useful Information,Related - but not informative,Other,Explosion,Other
2.39E+17,RT @pollobrito: #Amuay RT @j985fm: equipo de @BrigadasAzules en UCV montará centro de acopio en la facultad odontología d 9am a 3pm,Outsiders,Donations and volunteering,Related and informative,Other,Explosion,Other
2.39E+17,RT @ElUniversal: Cronología de accidentes ocurridos en la industria petrolera durante 2012 #Amuay #PuntoFijo http://t.co/9ovMVoLP,Media,Other Useful Information,Related and informative,Other,Explosion,Other
2.39E+17,"RT @DragonFly2768: ATENCION: #Amuay #FarmaSol20 Se solicitan medicamentos especificos como PROTOSULFIL, SILVEDERMA y SULFADIAZINA de PLA ...",NGOs,Donations and volunteering,Related and informative,Other,Explosion,Other
2.39E+17,RT @andregarcialz: Dicen que no es culpa de nadie ¿entonces de quien es culpa lo de #amuay? Seguro fueron los duendes que nos hacian el  ...,Outsiders,Not applicable,Related - but not informative,Other,Explosion,Other
2.39E+17,RT @globovision: Desmienten que la explosión de Amuay se deba a la falta de mantenimiento de la refinería http://t.co/Y8VbDLat,Media,Other Useful Information,Related and informative,Other,Explosion,Other
2.39E+17,RT @Betsydelva: #Farmasol20 #Amuay Centro de Acopio en Puerto La Cruz: Plaza Mayor  &lt; @LucioQuincioC @Alsuita,Outsiders,Donations and volunteering,Related and informative,Other,Explosion,Other
2.39E+17,Repetimos el teléfono de Protección Civil Falcón (0268)2511799. No ocupe las líneas telefónicas si no es una emergencia #Amuay,Government,Donations and volunteering,Related and informative,Other,Explosion,Other
2.39E+17,RT @AndresECE: @LuisOlavarrieta: Ayudemos a nuestros hermanos de #Amuay aquí están los centros de acopio. http://t.co/oJCkUgol”,Outsiders,Donations and volunteering,Related and informative,Other,Explosion,Other
2.39E+17,Siento Mucho Lo Que Paso Hoy En la Refinería De Amuay☹ #FuerzasPuntoFijo,Outsiders,Sympathy and support,Related - but not informative,Other,Explosion,Other
2.39E+17,RT @SayaleroMissU79: Muy lamentable la noticia de Venezuela refineria de #Amuay. Es la refineria mas importante de Venezuela. Definitiva ...,Outsiders,Sympathy and support,Related - but not informative,Other,Explosion,Other
2.39E+17,"RT @RDelima9: Sigue el candelero y el humo, Vista desde Judibana #Amuay CRP http://t.co/EgVKOTnq",Eyewitness,Other Useful Information,Related and informative,Other,Explosion,Other
2.39E+17,#amuay LATEST NEWS SPRINGSTEEN PULLS DAUGHTER ONSTAGE FOR DANCE... http://t.co/pG9x6jJQ,Not labeled,Not labeled,Not related,Other,Explosion,Other
2.39E+17,#SPAmuay RT @LuisOlavarrieta: Ayudemos a nuestros hermanos de #Amuay aquí están los centros de acopio. http://t.co/L0AUUofb”,NGOs,Donations and volunteering,Related - but not informative,Other,Explosion,Other
2.39E+17,MP designó fiscal nacional y equipo técnico para investigar explosión en refinería de Amuay http://t.co/j32Ob3ir,Government,Other Useful Information,Related and informative,Other,Explosion,Other
2.39E+17,RT @BladimirGM: Los HDP Escuacas tratando de sacar punta a la tragedia de #Amuay por eso MÁS NUNCA VOLVERÁN!!!,Not applicable,Other Useful Information,Related - but not informative,Other,Explosion,Other
2.39E+17,"Lamentable...@avaldezpy: Saboteando con vidas siempre la derecha mata a los nuestros, x q no ponen sus muertos x lo menos #Amuay",Outsiders,Affected individuals,Related - but not informative,Other,Explosion,Other
2.39E+17,"RT @TiaPanaYo: Noooo, la vaina no es politizar la tragedia pero en VTV solo veo a afectados #Amuay con franelas y gorras rojas #MegaFail",Outsiders,Other Useful Information,Related - but not informative,Other,Explosion,Other
2.39E+17,RT @PDVSA: Ministro Rafael Ramírez da detalles del siniestro de Amuay. http://t.co/UNZtxX20 (Video) #Amuay,Government,Other Useful Information,Related and informative,Other,Explosion,Other
2.39E+17,RT @NOTIFALCON: Deben evitarse los desplazamientos innecesarios hacia zonas cercanas a la refinería Amuay #ExplosiónAmuay,Media,Caution and advice,Related and informative,Other,Explosion,Other
2.39E+17,RT @stellapatagonia: RT @monnissima: #Amuay INCENDIO....FALCON SI TIENE DOLIENTES!!!! http://t.co/bfq7YjpW,Outsiders,Other Useful Information,Related - but not informative,Other,Explosion,Other
2.39E+17,Espero que la situación critica en #Amuay mejore con la ayuda de Jehova (MSP) para todas las familias afectadas,Outsiders,Sympathy and support,Related - but not informative,Other,Explosion,Other
2.39E+17,Hoy venezuela se viste de luto para acompañar a todas esas familias que perdieron un ser querido en la refinería... http://t.co/aPux0q8f,Outsiders,Sympathy and support,Related - but not informative,Other,Explosion,Other
