Tweet ID,Tweet_Text,Information_Source,Information_Type,Informativeness,First_Responder,Disaster_Type,Secondary_Annotation
2.43E+17,"#earthquake M 3.3, Virgin Islands region: September 01, 2012 06:10:29 GMT http://t.co/wi04LJ1D",Not labeled,Not labeled,Not related,police/firefighter,earthquake,USAR
2.43E+17,@EarthquakeTest update your #earthquake s more,Not labeled,Not labeled,Not related,Other,earthquake,other
2.43E+17,"RT @RedazioneWebAL: #Terremoto, Costi (Pd): tanto fatto, tanto da fare, l'importante per chi abita nel cratere è non sentirsi mai ostac ...",Not labeled,Not labeled,Not related,Other,earthquake,other
2.43E+17,"#Earthquake M 2.6, Southern Alaska http://t.co/sdi09taS",Not labeled,Not labeled,Not related,police/firefighter,earthquake,Dispatch/USAR
2.43E+17,５年６ヶ月長期保存可能なえいようかん5本。http://t.co/ZlSVctfi #eqjp #quake #saigai #earthquake #jishin #地震 #災害,Not labeled,Not labeled,Not applicable,Other,earthquake,other
2.43E+17,#earthquake sige najud ug linug diri ui.. =.=,Not labeled,Not labeled,Not applicable,other,earthquake,other
2.43E+17,@MRmusica pasenla super bien :) Mil besos desd #CostaRIca :DDDD,Not labeled,Not labeled,Not related,other,earthquake,other
2.43E+17,RT @TerreInMoto: I Negozi di Mirandola 3 Mesi Dopo il #Terremoto - http://t.co/8SVkDdHm,Not labeled,Not labeled,Not related,other,earthquake,other
2.43E+17,"#earthquake Philippines (the): NDRRMC Update re Effects of Earthquake in Maramag, Bukidnon http://t.co/YYG65owX #crisismanagement",Not labeled,Not labeled,Not related,police/firefigther,earthquake,Dispatch/USAR
2.43E+17,"【#USGS #Breaking】 M 1.1, 28km SSW of Fairbanks, Alaska http://t.co/hSyciQFM #PastHour #11 #earthquake #tsunami #prayfromjapan",Not labeled,Not labeled,Not applicable,police/firefigther,earthquake,Dispatch/USAR
2.43E+17,"#earthquake: M 1.6, Greater Los Angeles area, California http://t.co/4cX0Qy05",Not labeled,Not labeled,Not related,police,earthquake,Dispatch
2.43E+17,"#Temblor♨ M 4.2, 72km ESE of Karpathos, Greece http://t.co/KMRZ07mN #Earthquake #Sismo",Not labeled,Not labeled,Not related,police/firefighter,earthquake,Dispatch/USAR
