Tweet ID,Tweet_Text,Information_Source,Information_Type,Informativeness,First_Responder,Disaster_Type,Secondary_Annotation
3.48E+17,"RT @CBCAlerts: Canmore, Alta. declares state of emergency due to flooding  - with some residents being moved to community centre #Alberta",Media,Affected individuals,Related and informative,police/ems,Flood,dispatch/cert
3.48E+17,"RT @GlobalCalgary: If you are in #Canmore and need help, an emergency line has been set up. Pls call 403-678-1551. #abstorm #abflood",Media,Caution and advice,Related and informative,police/ems,Flood,dispatch/cert
3.48E+17,RT @metrocalgary: UPDATE: Latest from the @cityofcalgary and surrounding area on #abflood: http://t.co/lkA9L9zSvT #yyc,Government,Caution and advice,Related and informative,Police,Flood,dispatch
3.48E+17,"RT @GlobalCalgary: GALLERY: Incredible photos of flooding around southern Alberta, inc. Canmore, Bragg Creek, Chain Lakes: http://t.co/E79r…",Media,Not applicable,Related and informative,police/ems,Flood,dispatch/cert
3.48E+17,RT @nenshi: Major risk of flooding in Calgary. Follow directions here: http://t.co/7dLx8aZptf and stay tuned. Please RT widely. #YYC,Government,Caution and advice,Related and informative,police/ems,Flood,dispatch/cert
3.48E+17,RT @weathernetwork: RT: Residents of #HighRiver AB asked to evacuate immediately. Severe and rapid flooding occurring. #abstorm #abflood,Media,Affected individuals,Related and informative,Police/Firefighter,Flood,dispatch/USAR
3.48E+17,RT @BrockWHarrison: . @ElectDanielle and other volunteers now stranded inside High River General Hospital until water recedes. #abflood #ab…,NGOs,Affected individuals,Related and informative,Police/Firefighter,Flood,dispatch/USAR
3.48E+17,Lots of #abflood updates on our liveblog http://t.co/tJK7Cx7yiR,Media,Other Useful Information,Related and informative,police/ems,Flood,dispatch/cert
3.48E+17,RT @aldjohnmar: Our first Emergency Shelter will be the Southland Leisure Centre. #yyc #yyccc #yycflood,NGOs,Infrastructure and utilities,Related and informative,police,Flood,dispatch
3.48E+17,'Move to high ground:' Rapid flooding forces evacuation of High River http://t.co/XFwGrt6lXm #yyc #Calgary #yycre #reincal,Media,Caution and advice,Related and informative,Police,Flood,dispatch
3.48E+17,RT @News1130radio: Due to widespread flooding parts of Calgary are being evacuated.  Ppl are asked to find shelter and to be prepared for t…,Media,Caution and advice,Related and informative,police/ems,Flood,dispatch/cert
3.48E+17,"RT @TarzanDan: If you are in #Canmore &amp; need help, an emergency line has been set up. Please call 403-678-1551 #abstorm #abflood",NGOs,Caution and advice,Related and informative,police/ems,Flood,dispatch/cert
3.48E+17,Calgary is now in a local state of emergency. Lots of evacuations and road closures. Stay safe!!  #yycflood #yyc,Eyewitness,Infrastructure and utilities,Related and informative,Police/Firefighter,Flood,dispatch/usar
3.48E+17,RT @SunNewsNetwork: UPDATED: Parts of Calgary evacuated after heavy rains flood southern Alberta http://t.co/2isLI0fVwR,Media,Affected individuals,Related and informative,Other,Flood,other
3.48E+17,RT @brennancreative: This sign in Okotoks reminds of Walking Dead/zombie apocalypse stuff. #abflood http://t.co/3QmOIb18Oz,Eyewitness,Affected individuals,Related and informative,other,Flood,other
3.48E+17,“@Van_city_Nucks: All people evacuating the flooding in Alberta can just use Taylor Halls forehead as a life raft and get to safety”@RimSan_,Outsiders,Other Useful Information,Related and informative,other,Flood,other
3.48E+17,RT @GlobalCalgary: The town of #Sundre has declared a state of local emergency due to flooding along the Red Deer River. #abflood,Media,Caution and advice,Related and informative,Police,Flood,dispatch
3.48E+17,RT @mikesbloggity: Water now flowing over the pathway to Prince's Island Park. #abflood http://t.co/7hT6o9QDyO,Eyewitness,Infrastructure and utilities,Related and informative,Police,Flood,dispatch
3.48E+17,RT @cityofcalgary: Due to flooding a closure of the two eastbound lanes on Memorial Dr between 5A St and Centre St NW is planned. #yycflood,Government,Infrastructure and utilities,Related and informative,Police,Flood,Traffic Control and Safety Units (TCSU)
