Tweet ID,Tweet_Text,Information_Source,Information_Type,Informativeness,First_Responder,Disaster_Type,Secondary_Annotation
3.89E+17,"It's ridiculous,,,RT @ThatGuyTiisetso: #redoctober making people so emotional its crazy",Not labeled,Not labeled,Not related,Other,Wildfire,other
3.89E+17,A Total Fire Ban has been declared for the Greater Sydney Region on Sunday 13th October 2013 between 12:00am -... http://t.co/4kwIvUGNUj,Media,Caution and advice,Related and informative,Police,Wildfire,dispatch
3.89E+17,NSW National Parks &amp; Wildlife Service have again advised that tomorrow - Sunday 13 October - due to EXTREME fire... http://t.co/N7aBbvgQJj,Government,Caution and advice,Related and informative,Firefighter,Wildfire,Fire
3.89E+17,Fire Danger Update - Tomorrow signs will be on VERY HIGH - http://t.co/arvGu19d4d Southern Ranges Region #NSWRFS Permits Suspended,Government,Caution and advice,Related and informative,Other,Wildfire,other
3.89E+17,This #RedOctober shit is just the beginning of what's gonna happen after Mandela passes,Not labeled,Not labeled,Not related,Other,Wildfire,other
3.89E+17,You can't be supporting #RedOctober mr white man if your maid / cook / helper is black she gon poison yo food just chill,Not labeled,Not labeled,Not related,Other,Wildfire,other
3.89E+17,RT @smh: Do not light fires in the open: RFS warns as #Sydney braces for strong winds and hot weather on Sunday. http://t.co/4Y6lLeUeXa,Media,Caution and advice,Related and informative,Police,Wildfire,Dispatch
3.89E+17,#3 READ IT !!! Proves #REDOCTOBER was not for racist reasons!! Drop the shit people lets make our country for every1 http://t.co/4Ddxrf0ijn,Not labeled,Not labeled,Not related,Other,Wildfire,other
3.89E+17,#RedOctober is disgusting. Racist fools; a movement driven by haggard Afrikaans singers trying to sell CDs. Gullible folks supporting it.,Not labeled,Not labeled,Not related,Other,Wildfire,other
3.89E+17,"@mynameisjerm it's no coincident that #RedOctober commemorates menstrual cycle, give them time to mourn the bloodshed",Not labeled,Not labeled,Not related,Other,Wildfire,other
3.89E+17,White privilege means never having your intelligence or integrity questioned. Not having to work hard enough for your position. #RedOctober,Not labeled,Not labeled,Not related,Other,Wildfire,other
3.89E+17,What we did: Beat Greinke and Kershaw  What we need to do: Win two more  #Cardinals #RedOctober,Not labeled,Not labeled,Not related,Other,Wildfire,other
3.89E+17,THAT'S A WINNER! @Cardinals #GoCards #RedOctober #NLCS @TrevRosenthal is the man!,Not labeled,Not labeled,Not related,Other,Wildfire,other
3.89E+17,Life is good with the Samford bulldogs pulling off a big win and the Cardinals leading 2-0 in the NLCS!!! #RedOctober ❤️⚾️#BowWow 🏈💙,Not labeled,Not labeled,Not related,Other,Wildfire,other
3.89E+17,@AndrewCatsaras just read big fire for Sydney? hope not really serious?,Outsiders,Other Useful Information,Related - but not informative,Police/Firefighter,Wildfire,dispatch/Fire
3.89E+17,"Another extreme fire danger day for NSW, with heat and thunderstorms creating extreme bushfire danger: http://t.co/8LvhtwugK4 #ANN",Government,Other Useful Information,Related and informative,Firefighter,Wildfire,Fire
3.89E+17,RT @NSWRFS: #NSWRFS crews are responding to a fire reported in the Salt Ash area (Port Stephens). #nswfires,Government,Other Useful Information,Related and informative,Firefighter,Wildfire,Fire
3.89E+17,"RT @ABCNews24: #BREAKING: Emergency warning for bushfire at Browns Rd, Port Stephens NSW. Fire info at http://t.co/qNHSUbeR2I or @NSWRFS",Media,Caution and advice,Related and informative,Firefighter,Wildfire,Fire
3.89E+17,Enough said @Know: Racism &amp; homophobia is linked to having a lower IQ. #RedOctober,Not labeled,Not labeled,Not related,Other,Wildfire,other
