Tweet ID,Tweet_Text,Information_Source,Information_Type,Informativeness,First_Responder,Disaster_Type,Secondary_Annotation
3.77E+17,#Longmont #CO The Tiny Tim Center is now #hiring. Book Keeper http://t.co/l4m5iSOmTw #tweetmyjobs,Not labeled,Not labeled,Not related,Other,Flood,other
3.78E+17,"RT @dlfluegge: Crazy Flooding in Boulder, Colorado http://t.co/sg0iIdqCeY via @youtube",Media,Sympathy and support,Related - but not informative,Police/Firefighter,Flood,dispatch/usar
3.78E+17,Here's the #boulderflood video that's circulating around. Right in my old neighborhood west of CU! #StaySafe  http://t.co/eMPbOeBk7M”,Outsiders,Other Useful Information,Related and informative,other,Flood,other
3.78E+17,RT @passantino: Video: Severe flooding hits near Univ. of Colorado at Boulder http://t.co/7jkJogCjDH,Media,Other Useful Information,Related and informative,Police/Firefighter,Flood,dispatch/usar
3.78E+17,"Crazy Flooding in Boulder, Colorado http://t.co/3IgoyaAfWE",Media,Other Useful Information,Related and informative,Police/Firefighter,Flood,dispatch/usar
3.78E+17,Thoughts and prayers out to those in Boulder who may not get to Amante for morning coffee. #boulderflood,Outsiders,Sympathy and support,Related - but not informative,other,Flood,other
3.78E+17,what... “@AmyZPhD: @JuggleGod They are saying South Boulder Creek near Eldo Sprgs is past #100yearflood levels #boulderflood”,Outsiders,Other Useful Information,Related and informative,other,Flood,other
3.78E+17,"GO TO http://t.co/ypwkPv2eDM  AND★RT★FOR★NEW★FOLLOWERS★✔#BestRapper,#PutinsFavoriteFlicks,#Remember911,#boulderflood, http://t.co/o5XvzjcpxD",Not labeled,Not labeled,Not related,other,Flood,other
3.78E+17,RT @markloiseau: Boulder's floodplain map http://t.co/Y4wcyyo7k7 #boulderflood,Outsiders,Other Useful Information,Related and informative,Police/Firefighter,Flood,dispatch/usar
3.78E+17,Who's tryin to tube on boulder creek right now? #boulderflood,Outsiders,Other Useful Information,Related - but not informative,other,Flood,other
3.78E+17,RT @dailycamera: VIDEO: Flooding at 28th St underpass in #Boulder tonight http://t.co/JhQBnOZWiF #boulderflood,Media,Infrastructure and utilities,Related and informative,Police/Firefighter,Flood,dispatch/usar
3.78E+17,RT @BoulderCh1News: scanner #boulderflood reports Lee Road rock slide road is closed,Media,Infrastructure and utilities,Related and informative,Other,Flood,other
3.78E+17,"RT @elaine: With the #Boulderflood, remember to check and trust your sources before you Retweet. Don't go around spreading false informatio…",Outsiders,Caution and advice,Related - but not informative,Other,Flood,other
3.78E+17,"Pray for Boulder, Colorado #boulderflood",Outsiders,Sympathy and support,Related - but not informative,Other,Flood,other
3.78E+17,RT @ShoutSteph: And I thought living on boulder creek would be a good thing... #flashflood #boulderflood #bouldercreek http://t.co/fe1LuXPp…,Eyewitness,Other Useful Information,Related - but not informative,other,Flood,other
3.78E+17,"Evacuation order for the town of #Jamestown, #CO. Torrential #flooding rain in the Front Range Urban Corridor, N of I-70 #COwx #Boulderflood",Outsiders,Caution and advice,Related and informative,Police,Flood,dispatch
3.78E+17,RT @ShanaCordon: Evacuation bags are ready by the front door. Now hoping for some rest. Be safe &amp; well #Boulder friends. #boulderflood #cowx,Eyewitness,Sympathy and support,Related and informative,police,Flood,dispatch
3.78E+17,"I GET 5078 REALL FOLLOWERS! http://t.co/qrF5dpD3ak  ✈#BestRapper,#boulderflood,#PutinsFavoriteFlicks,#Remember911,#in http://t.co/Qi1ROyZilU",Not labeled,Not labeled,Not related,other,Flood,other
3.78E+17,"GO=&gt;http://t.co/b1BmzMHtsK #BestRapper,#boulderflood,#PutinsFavoriteFlicks,#Remember911,#ini http://t.co/yrSTbef6x8",Not labeled,Not labeled,Not related,other,Flood,other
3.78E+17,Anyone wanna go skinny dipping? #boulderflood,Not labeled,Not labeled,Not related,other,Flood,other
3.78E+17,"#Breaking: Jamestown, Colorado, is under mandatory evacuation order due to flash flooding - @dailycamera http://t.co/bN3gBLKHQg",Media,Caution and advice,Related and informative,Police/Firefighter,Flood,dispatch/usar
3.78E+17,"The weather is crazy over here..we have rivers now, &amp; some students are evacuating the dorms while others went mud sliding xD #boulderflood",Eyewitness,Affected individuals,Related and informative,police,Flood,dispatch
3.78E+17,Damnit @twitter take care of the spammers using #BoulderFlood,Outsiders,Other Useful Information,Related - but not informative,other,Flood,other
3.78E+17,RT @NWSBoulder Significant flooding at the Justice Center in #boulderflood #COwx,Media,Infrastructure and utilities,Related and informative,Police/Firefighter,Flood,dispatch/usar
3.78E+17,RT @TimesCall: #Westminster and #Thornton swift-water dive teams en route to #Boulder in case they are needed. #boulderflood #cowx,Outsiders,Donations and volunteering,Related and informative,police,Flood,dispatch
3.78E+17,"#russelladler #news Jamestown, Colorado, is under mandatory evacuation order due to flash flooding - @dailycamera http://t.co/yyqbHZajQz",Media,Caution and advice,Related and informative,police,Flood,dispatch
3.78E+17,RT @TxStormChasers: RT @odog: Sleeping above ground tonight. Stay safe #boulderflood #boulder http://t.co/MgacEwLoKC #cowx,Eyewitness,Sympathy and support,Related and informative,other,Flood,other
3.78E+17,HOLY SHIT. Boulder creek water volume for the last year. Be careful. #boulder #boulderflood http://t.co/TfBOR1iUfF http://t.co/2qEYyqHbwk,Outsiders,Caution and advice,Related - but not informative,other,Flood,other
3.78E+17,"#Boulder #Colorado has like 340 days of sunshine a year. Now the #BoulderFlood ? That just proves if we are gonna do it, we do it big!",Outsiders,Other Useful Information,Related and informative,other,Flood,other
3.78E+17,Links for information on #Boulderflood from @BoulderOEM @CUBoulder @NWSBoulder @bouldercolorado #cowx  http://t.co/6QwHS0KLQ5,Media,Other Useful Information,Related and informative,other,Flood,other
3.78E+17,#socy2044  will there be looting? Or an increase in crime this weekend?#boulderflood,Outsiders,Other Useful Information,Related and informative,police,Flood,CPU
3.78E+17,RT @TxStormChasers: Scanner: Highway 66 going into Lyons is underwater from the west at the Diamond Shamrock. #cowx  #boulderflood,Media,Infrastructure and utilities,Related and informative,police,Flood,dispatch
3.78E+17,rain again picking up in dwtn bldr #boulderflood,Eyewitness,Other Useful Information,Related and informative,other,Flood,other
3.78E+17,For updates on additional evacuation points throughout Boulder County for #boulderflood visit http://t.co/zbOLD3UJEQ,Media,Caution and advice,Related and informative,police,Flood,dispatch
3.78E+17,"GO=&gt;http://t.co/Says6bwdOX ★RT★FOLLOWME★IFOLLOWYOU✔#boulderflood,#BestRapper,#Remember911,#PutinsFavoriteFlicks,#init http://t.co/AGYCYdTaIX",Not labeled,Not labeled,Not related,other,Flood,other
3.78E+17,RT @dailycamera: VIDEO: Flooding at 28th St underpass in #Boulder tonight http://t.co/JhQBnOZWiF #boulderflood,Media,Infrastructure and utilities,Related and informative,police,Flood,dispatch
3.78E+17,"Flash floods wash away homes, kill at least one near Boulder, Colorado - U.S. News http://t.co/P5mHLfbnLR via @NBCnews",Media,Affected individuals,Related and informative,police,Flood,dispatch
3.78E+17,RT @USATODAY: #BREAKING: Severe floods strike Colorado http://t.co/JkvGm4hDu8,Media,Other Useful Information,Related and informative,police,Flood,dispatch
3.78E+17,"NEW  F O L L O W E R S=&gt;http://t.co/0CJzDlNh5b   ✔#boulderflood,#BestRapper,#initialsofsomeonespecial,#cowx,#RedEye,S http://t.co/81QZvCKE5c",Not labeled,Not labeled,Not related,other,Flood,other
3.78E+17,At least 1 dead in Colo. flooding: Severe flooding in Jamestown in Colorado's Boulder County killed one person... http://t.co/4IwenaofFy,Outsiders,Affected individuals,Related and informative,police,Flood,dispatch
3.78E+17,RT @denverpost: UPDATE: Massive flooding has destroyed multiple homes in Boulder County: http://t.co/b2SOQOEIWb #COwx #BoulderFlood,Media,Infrastructure and utilities,Related and informative,Police/Firefighter,Flood,dispatch/usar
3.78E+17,"S/O to @CUBoulder, @dailycamera, and @bouldercounty for being on their game tonight. Thanks for the updates and alerts! #BoulderFlood",Outsiders,Caution and advice,Related - but not informative,other,Flood,other
3.78E+17,Did you know? Via @bouldercolorado: #Boulder is the #1 flash flood risk community in Colorado. #Boulderflood http://t.co/BIuwhpDQfL #COwx,Media,Other Useful Information,Related and informative,other,Flood,other
3.78E+17,"RT @__yungsavvy: GO=&gt;http://t.co/lAcESTnam4 ★RT★FOLLOW ME★IFOLLOWYOU✔#boulderflood,#BestRapper,#initialsofsomeonespecial,#cowx,#RedEye http…",Not labeled,Not labeled,Not related,other,Flood,other
3.78E+17,RT @Kacyyy: @9NEWS our new front yard pond #boulderflood http://t.co/Lg7vETN7Pd,Eyewitness,Other Useful Information,Related - but not informative,other,Flood,other
3.78E+17,RT @Muffissness: RT @LouiseMase Can't believe a few hours ago it was just a bit of heavy rain.. Escalated ridiculously quickly #boulderflood,Media,Affected individuals,Related - but not informative,other,Flood,other
3.78E+17,One Dead as Flash Flooding Hits Parts of Colorado http://t.co/K4XbG0R6gJ,Media,Affected individuals,Related and informative,police,Flood,dispatch
3.78E+17,Flooding in Colorado kills 1:        http://t.co/5iROFQunkN,Media,Affected individuals,Related and informative,police,Flood,dispatch
3.78E+17,"GO=&gt;http://t.co/Q8TxiJlUWc ♥AND♥RT♥IF♥WANT♥NEW♥FOLLOWERS✔#boulderflood,#BestRapper,#cowx,#initialsofsomeonespecial, http://t.co/tMD9MnLG4B",Not labeled,Not labeled,Not related,other,Flood,other
3.78E+17,T'storms crossing I-25 toward #Longmont. Strong storm sitting over #Brighton tracking NE. #9wx forecast on #9News now http://t.co/uqO7mgWQoj,Media,Other Useful Information,Related and informative,police,Flood,dispatch
3.78E+17,#BREAKING: @CUBoulderPolice say Approx. 400-500 #CUBoulder Family Housing residents evacuated.  #boulderflood #9NewsMornings,Government,Affected individuals,Related and informative,other,Flood,other
3.78E+17,BREAKING NEWS: US 36 is now open from Sheridan to McCaslin #9wx #cotraf #boulderflood,Media,Infrastructure and utilities,Related and informative,police,Flood,TCSU
3.78E+17,RT @JeremyHubbard: Another great pic of #Boulderflood from Instagram. #Boulder @KDVR brandash's photo http://t.co/Ng3nnDaDpg,Outsiders,Other Useful Information,Related - but not informative,other,Flood,other
3.78E+17,RT @Greeblemonkey: The original of the photo that is floating everywhere for #boulderflood @brandash's photo http://t.co/Mxz914VLJZ,Media,Other Useful Information,Related and informative,other,Flood,other
3.78E+17,"RT @AP: Heavy rains cause flash flooding in Colorado, collapsing homes and leaving at least one person dead: http://t.co/8SuXHamB9g #Boulder",Media,Affected individuals,Related and informative,police,Flood,dispatch
3.78E+17,"RT @nicollefagan: Rivalries aside, keep those affected by the #BoulderFlood in your thoughts and prayers. Hopefully no more lives are taken…",Outsiders,Sympathy and support,Related - but not informative,other,Flood,other
3.78E+17,"RT @breakingstorm: Extremely dangerous and life threatening situation in Boulder, Colorado, area as flash flooding continues - @usNWSgov ht…",Media,Other Useful Information,Related and informative,Police/Firefighter,Flood,dispatch/usar
3.78E+17,One person killed and homes destroyed after flash floods wreak havoc in Colorado http://t.co/mLSFP2d6GM,Media,Affected individuals,Related and informative,police/firefighter/ems,Flood,dispatch/usar
3.78E+17,"GET NEW F O L L O WERS? Visit http://t.co/gyDr3CksAf  #boulderflood,#BestRapper,#initialsofsomeonespecial,#cowx,#musi http://t.co/B0NUdMDayP",Not labeled,Not labeled,Not related,other,Flood,other
3.78E+17,#DEVELOPING | 1 Dead as Flash Flooding Hits Parts of Colorado http://t.co/RDMF3TkiQH [via @AP],Media,Affected individuals,Related and informative,police,Flood,dispatch
3.78E+17,Everyone stay safe in the #BoulderFlood! Especially those having to be evacuated. It's getting dangerous.,Outsiders,Sympathy and support,Related and informative,other,Flood,other
3.78E+17,"GO=&gt;http://t.co/Xvxx1KW39m #boulderflood,#BestRapper,#initialsofsomeonespecial,#cowx,#music, http://t.co/FHOoVObeFy",Not labeled,Not labeled,Not related,other,Flood,other
3.78E+17,One person #killed and homes #destroyed after flash floods wreak havoc in #Colorado - Sep 12 @ 7:44 AM ET http://t.co/V3o4BAZiFI,Media,Affected individuals,Related and informative,police,Flood,dispatch
3.78E+17,"RT @reedtimmerTVN: LIFE THREATENING flash #flooding in Colorado Foothills including Colorado Springs, Fort Collins, and Boulder areas http:…",Media,Other Useful Information,Related and informative,police,Flood,dispatch
3.78E+17,RT @breakingstorm: 2nd death related to Colorado flooding reported - @9NEWS; for more: http://t.co/DfOjwyccDP,Media,Affected individuals,Related and informative,police,Flood,dispatch
3.78E+17,"Visit=&gt;http://t.co/CbecmqI2y4  AND★RT★IF★YOU★WANT★FOLLOWERS★#boulderflood,#BestRapper,#initialsofsomeonespecial,#cowx http://t.co/iLZ0Tr5P8G",Not labeled,Not labeled,Not applicable,other,Flood,other
3.78E+17,Student captures flash flooding on University of Colorado campus http://t.co/VMQc9BBU43,Outsiders,Infrastructure and utilities,Related and informative,other,Flood,other
3.78E+17,#Colorado flooding kills two. @ryanparkerdp  http://t.co/Pqi3EpjGj3 …,Media,Affected individuals,Related and informative,police,Flood,dispatch
3.78E+17,"RT &amp; VISIT 4 GAIN FOLLOWERS=&gt;http://t.co/PFVY23FTBV  ★#boulderflood,#BestRapper,#initialsofsomeonespecial,#cowx,#musi http://t.co/za8uubIZAH",Not labeled,Not labeled,Not related,other,Flood,other
3.78E+17,RT @ryanparkerdp: STRESS: OEM warns DO NOT leave your home if you do not have to. DO NOT DRIVE in Boulder. Period. #boulderflood,Media,Caution and advice,Related and informative,other,Flood,other
3.78E+17,"I GET 8036 REALL FOLLOWERS! http://t.co/cn38YSxOWS  ✈#boulderflood,#BestRapper,#initialsofsomeonespecial,#cowx,#music http://t.co/1tgnsWiOXm",Not labeled,Not labeled,Not related,other,Flood,other
3.78E+17,"JUST IN: A second person has died in Colorado's flash flooding, officials say. http://t.co/RjJiXKrbuS #cowx",Media,Affected individuals,Related and informative,police,Flood,dispatch
3.78E+17,RT @NewsBreaker: More on deadly Colorado flooding reported by @Kelly7News with @7newsNOW.,Media,Caution and advice,Related and informative,police,Flood,dispatch
3.78E+17,"GO=&gt;http://t.co/t4wnarC1fo #boulderflood,#BestRapper,#initialsofsomeonespecial,#cowx,#music, http://t.co/XPpsCjZdvM",Not labeled,Not labeled,Not related,other,Flood,other
3.78E+17,"RT @abc7newsBayArea: UPDATE: Flash flooding in Boulder County, Colorado has left two people dead. http://t.co/ntQm6jaDBR",Media,Affected individuals,Related and informative,police,Flood,dispatch
3.78E+17,"RT &amp; VISIT 4 GAIN FOLLOWERS=&gt;http://t.co/aG6g9SCYwu  ★#boulderflood,#BestRapper,#initialsofsomeonespecial,#cowx,#musi http://t.co/BPS31hFNqE",Not labeled,Not labeled,Not related,other,Flood,other
3.78E+17,"I GET 9524 REALL FOLLOWERS! http://t.co/gCqVdKlSSK  ✈#boulderflood,#BestRapper,#initialsofsomeonespecial,#cowx,#music http://t.co/cK3Ubq0KFx",Not labeled,Not labeled,Not related,other,Flood,other
3.78E+17,#Preachit #lightbulb #patrickstar #patrick #meme  #rain #colorado #boulderflood #itsbad http://t.co/yOtcXNNxB3,Not labeled,Not labeled,Not applicable,other,Flood,other
3.78E+17,"@_fl0ss: Boulder, Colorado feels God's wrath! Rejoice, for the rapture cometh. Let all #atheist sodomites drown! #boulderflood #cowx Harsh",Outsiders,Not applicable,Related - but not informative,other,Flood,other
3.78E+17,"GO=&gt;http://t.co/RYysuBUj6Y ★RT★FOLLOWME★IFOLLOWYOU✔#boulderflood,#BestRapper,#initialsofsomeonespecial,#cowx,#music,T http://t.co/DI8TqUvTTk",Not labeled,Not labeled,Not applicable,other,Flood,other
3.78E+17,"VISIT=&gt;http://t.co/92jE0nMU6S  ☀RT☀FOR☀NEW☀FOLLOWERS☀✔#boulderflood,#BestRapper,#initialsofsomeonespecial,#cowx,#musi http://t.co/w0rD7CWawk",Not labeled,Not labeled,Not related,other,Flood,other
3.78E+17,“@MelissaBuntcake: This is 287 and Dillon Rd... Cars submerged after road gives way http://t.co/V2yIGBxfzt #BoulderFlood”. Awful!,Eyewitness,Infrastructure and utilities,Related and informative,police,Flood,dispatch
3.78E+17,@Ericccxminaj 1 Dead as Flash Flooding Hits Parts of Colo.: Flash flooding in Colorado's Boulder County has left one person...  @MJJPEACE,Outsiders,Affected individuals,Related and informative,police,Flood,dispatch
