Tweet ID,Tweet_Text,Information_Source,Information_Type,Informativeness,First_Responder,Disaster_Type,Secondary_Annotation
3.53E+17,RT @mdumais: Lac-Mégantic: les premières vidéos citoyens de la catastrophe  (suite) https://t.co/GXQk4gdIoG,Media,Other Useful Information,Related and informative,Other,Derailment,Other
3.53E+17,Scène d'apocalypse à Lac-Mégantic: une nouvelle vidéo citoyen https://t.co/vbZ9mSk6Od,Media,Other Useful Information,Related and informative,Other,Derailment,Other
3.53E+17,Un train de carburant explose à Lac-Mégantic http://t.co/fQxY8ec9jG via @lp_lapresse,Outsiders,Infrastructure and utilities,Related and informative,Other,Derailment,Other
3.53E+17,Un train transportant du pétrole à déraillé à lac Megantic en Estrie.  Explosions. #lacmegantic,Outsiders,Other Useful Information,Related and informative,Other,Derailment,Other
3.53E+17,Un train de carburant explose à lac Mégantic http://t.co/6f74QUjwkL,Outsiders,Other Useful Information,Related and informative,Other,Derailment,Other
3.53E+17,RT @mariowroy: Lac Mégantic — Ça vous donne une idée de l’intensité des explosions. [PHOTO] #Déraillement #Pétrole #Tragédie  http://t.co/j…,Not applicable,Other Useful Information,Related and informative,Other,Derailment,Other
3.53E+17,"@tvanouvelles et @RadioCanadaInfo. Si vos caméras sont en direct de #LacMégantic, pourquoi nous passer toujours les mêmes images en boucle?",Not labeled,Not labeled,Not related,Other,Derailment,Other
3.53E+17,"RT @Doglaran: Nuit d'horreur à Lac-Mégantic (sud du Québec) - Un train explose, le centre-ville est en flamme http://t.co/AWbdBLzYQu",Outsiders,Infrastructure and utilities,Related and informative,Other,Derailment,Other
3.53E+17,"Une page pour venir en aide, prendre des nouvelles et en donner  #LacMégantic  https://t.co/VwmcBTGsDd …",Media,Donations and volunteering,Related - but not informative,Other,Derailment,Other
3.53E+17,"RT @BreakingNews: Entire town of Lac-Megantic in Quebec evacuated after freight train carrying crude oil derails, catches fire - @ABC http:…",Media,Other Useful Information,Related and informative,Other,Derailment,Other
3.53E+17,"RT @kanggurusante: Ce matin, je voudrais que chacun de vous ayez une pensée pour les gens de Lac Mégantic pour les aider à passer à... http…",Outsiders,Sympathy and support,Related - but not informative,Other,Derailment,Other
3.53E+17,RT @BigMedicine: #LacMegantic - No word on casualties however there is real fear that w no one presenting at the ER this could be a MFI...,Outsiders,Other Useful Information,Related and informative,Other,Derailment,Other
3.53E+17,RT @cath_cullen: Remarkable photo of explosion in Lac-Megantic via @rc_estrie: http://t.co/eNRogjHWR7,Outsiders,Other Useful Information,Related and informative,Other,Derailment,Other
3.53E+17,RT @chezfarfelu: Support aux gens du Lac Mégantic #LacMégantic  https://t.co/VZjjWOMU5J,Outsiders,Sympathy and support,Related - but not informative,Other,Derailment,Other
3.53E+17,RT @NewsBreaker: EXPLOSION: Massive blast as train derails and explodes into a major fire in Quebec's Eastern Townships http://t.co/lw92jdA…,Media,Other Useful Information,Related and informative,Firefighter,Derailment,Fire
3.54E+17,Best of luck/Meilleure des chances aux gens de Lac-Mégantic ainsi que du Nord du Québec.,Outsiders,Sympathy and support,Related - but not informative,Other,Derailment,Other
3.54E+17,"Update: Downtown Lac-Megantic, Quebec, in flames after derailment; mayor says city center destroyed - @CBCAlerts http://t.co/EtJZCGFNYo",Media,Infrastructure and utilities,Related and informative,Firefighter,Derailment,Fire
3.54E+17,RT @rc_estrie: RT @CroixRouge_Qc: Lac-Mégantic : Nous déployons du matériel d'urgence et des bénévoles en soutien aux autorités #LacMeganti…,NGOs,Donations and volunteering,Related and informative,Other,Derailment,Other
3.54E+17,"RT @LesNews: Quebec: Un incendie majeur a éclaté au centre-ville de Lac-Mégantic, à la suite du déraillement d'un train.(lapresse) http://t…",Media,Infrastructure and utilities,Related and informative,Other,Derailment,Other
3.54E+17,Train derailment sparks major fire in Quebec's Eastern Townships http://t.co/o69z3EEM9A,Media,Infrastructure and utilities,Related and informative,Firefighter,Derailment,Fire
3.54E+17,"RT @LesNews: Quebec: Un incendie majeur a éclaté au centre-ville de Lac-Mégantic, à la suite du déraillement d'un train.(lapresse) http://t…",Media,Other Useful Information,Related and informative,Other,Derailment,Other
3.54E+17,"RT @CBCAlerts: Downtown #Lac-Megantic, Que., in flames after derailment  . Mayor says city centre destroyed. http://t.co/W0YleOhR4i",Media,Infrastructure and utilities,Related and informative,Firefighter,Derailment,Fire
3.54E+17,RT @LesNews: La moitié de la ville #LacMegantic détruite par les flammes via @radiocanada http://t.co/sFpKSc6DXp,Media,Infrastructure and utilities,Related and informative,Other,Derailment,Other
3.54E+17,Train derailment sparks major fire in Quebec's Eastern Townships http://t.co/gwJqYkaQWU Stay safe everyone,Outsiders,Other Useful Information,Related and informative,Firefighter,Derailment,Fire
3.54E+17,RT @FabiCastonguay: Pour tous ceux qui cherchent quelqu'un à #Lac-Mégantic https://t.co/YIr4SN8q3M,Outsiders,Affected individuals,Related and informative,Other,Derailment,Other
3.54E+17,"RT @CanoeNouvelles: L'explosion d'un wagon de train transportant du pétrole a provoqué un incendie majeur à Lac-Mégantic, en Estrie. http:/…",Outsiders,Not labeled,Related and informative,Other,Derailment,Other
3.54E+17,"RT @Foro_TV: En Canadá, desalojan a cientos de personas en la localidad Lac-Megantic luego que descarriló un tren cargado con petróleo.",Not labeled,Not labeled,Not applicable,Other,Derailment,Other
3.54E+17,#LacMégantic MRT @rc_estrie Groupe Facebook mis sur pied pour retrouver des proches est déjà à plus de 1200 membres http://t.co/1VUMmAREZg,Media,Donations and volunteering,Related and informative,Other,Derailment,Other
3.54E+17,RT @CroixRouge_Qc: Communiqué sur notre intervention à #LacMégantic. Nous avons un réseau de 1500 bénévoles prêts à intervenir http://t.co/…,NGOs,Donations and volunteering,Related and informative,Other,Derailment,Other
3.54E+17,RT @TataCand0u: Wow RT @LesNews: La moitié de la ville #LacMegantic détruite par les flammes via @radiocanada http://t.co/Nxe01hNMem,Outsiders,Infrastructure and utilities,Related and informative,Other,Derailment,Other
3.54E+17,L'Histoire (avec un grand H) s'écrit à #LacMegantic #fb,Outsiders,Other Useful Information,Related - but not informative,Other,Derailment,Other
3.54E+17,RT @NewsBreaker: NEW PHOTO:  Another unbelievable shot from the train derailment and explosion in Quebec #LacMegantic: http://t.co/ptk0DRC2…,Media,Not labeled,Related and informative,Other,Derailment,Other
3.54E+17,"RT @bouchecl: @Boucrate Dans ce genre d'affaire, les cheminots sont probablement les premières victimes :( #lacmegantic",Outsiders,Not labeled,Related - but not informative,Other,Derailment,Other
