Tweet ID,Tweet_Text,Information_Source,Information_Type,Informativeness,First_Responder,Disaster_Type,Secondary_Annotation
3.69E+17,RT @dost_pagasa: WEATHER BULLETIN No. 2 Tropical Cyclone Alert: Tropical Depression “#MaringPH”   Issued at 11:00AM 17 August... http://t.c…,Government,Caution and advice,Related and informative,Police,Floods,Dispatch
3.69E+17,"RT @24_Oras: Sa datos ng @dost_pagasa, huling namataan ang TD #MaringPH 325 km silangan ng Itbayat, Batanes.",Media,Caution and advice,Related and informative,Other,Floods,Other
3.69E+17,Fuck ayoko ng baha. Paano ako sa Manila gdi purnada ang gala HAHAHA,Eyewitness,Not applicable,Related - but not informative,Other,Floods,Other
3.69E+17,RT @ANCALERTS: Tropical Depression Maring is moving east southeast at 11kph #MaringPH,Media,Caution and advice,Related and informative,Police,Floods,Dispatch
3.69E+17,Intramuros baha. I miss Manila. http://t.co/UkqB40Eu5Y,Eyewitness,Infrastructure and utilities,Related and informative,Other,Floods,Other
3.69E+17,"RT @gmanews: PAGASA: #MaringPH moves east, monsoon to bring rain over PHL http://t.co/0ubcL9MqKe",Media,Caution and advice,Related and informative,Other,Floods,Other
3.69E+17,"RT @ANCALERTS: PAGASA 12:20pm: YELLOW advisory for Metro Manila. Moderate-heavy rains in next 3 hours, possible floods in low-lying areas",Media,Caution and advice,Related and informative,Police,Floods,Dispatch
3.69E+17,"RT @PCUNEWSTweets: @ANCALERTS: PAGASA 12:20pm: YELLOW advisory for Metro Manila. Moderate-heavy rains in next 3 hours, possible floods in …",Media,Caution and advice,Related and informative,Police,Floods,Dispatch
3.69E+17,"“@24_Oras: Sa Metro Manila, makararanas ng makulilim na langit at hanggang katamtamang pag-ulan hanggang sa Martes. #MaringPH” @PWU_Manila",Media,Other Useful Information,Related and informative,Other,Floods,Other
3.69E+17,"RT @24_Oras: Sa Metro Manila, makararanas ng makulilim na langit at hanggang katamtamang pag-ulan hanggang sa Martes. #MaringPH",Media,Caution and advice,Related and informative,Other,Floods,Other
3.69E+17,"Wag mo akong paasahin, ayokong masaktan. #Maring",Not labeled,Not labeled,Not related,Other,Floods,Other
