Tweet ID,Tweet_Text,Information_Source,Information_Type,Informativeness,First_Responder,Disaster_Type,Secondary_Annotation
4.07E+17,NYPD calling Level 3 mobilization (borough-wide) for possible train derailment near Spuyten Duyvil Metro North station in the Bronx,Government,Other Useful Information,Related and informative,Police,Derailment,dispatch
4.07E+17,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.,Media,Other Useful Information,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.,Media,Other Useful Information,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.,Media,Other Useful Information,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.,Media,Other Useful Information,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,RT @ajamlive: Police: A Metro-North passenger train has derailed in New York City; some cars in water-@AP #breaking,Media,Infrastructure and utilities,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.,Media,Infrastructure and utilities,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,RT @BreakingNews: Police say a Metro-North passenger train has derailed in New York City; some cars in water - @AP,Media,Other Useful Information,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,RT @YourAnonNews: Metro-North passenger train has derailed in New York City; some cars in water: AP,Media,Other Useful Information,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,RT @FreedomWeekly: BREAKING: Police Say a Metro-North Passenger Train Has Derailed in New York City; Some Cars in Water #NYC  http://t.co/z…,Media,Other Useful Information,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.,Media,Other Useful Information,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,"RT @BBCBreaking: A Metro-North passenger train has derailed in New York City, and a number of injuries are reported http://t.co/fISiSFeTm7",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,RT @BreakingNews: Unknown number of injuries in New York City train derailment near Metro-North Spuyten Duyvil station in the Bronx - @CBSN…,Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,RT @ecthompsonmd: RT @AP: MORE: A woman at the scene of an NYC train derailment says some train cars are in the water: http://t.co/GWhgXC3j…,Media,Other Useful Information,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,"RT @BBCBreaking: A Metro-North passenger train has derailed in New York City, and a number of injuries are reported http://t.co/fISiSFeTm7",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,THERE HAS BEEN ONE FATALITY SO FAR AT THE METRO NORTH DERAILMENT IN BRONX NYC #BREAKING,Outsiders,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,Train derailed in New York! Hope everyone's ok👏,Outsiders,Sympathy and support,Related - but not informative,Other,Derailment,Other
4.07E+17,"RT @BreakingNews: Numerous emergency vehicles responding to New York City train derailment, some trains submerged in water, eyewitness clai…",Media,Other Useful Information,Related and informative,police/ems/firefighter,derailment,dispatch/mmu/usar
4.07E+17,"Train crash in New York, helicopter crash in Glasgow, Paul Walker has died...this really is an awful week!",Outsiders,Other Useful Information,Related - but not informative,Other,Derailment,Other
4.07E+17,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.,Media,Infrastructure and utilities,Related and informative,police/ems/firefighter,Derailment,MMU/USAR
4.07E+17,RT @BreakingNews: Police say a Metro-North passenger train has derailed in New York City; some cars in water - @AP,Media,Other Useful Information,Related and informative,Firefighter,Derailment,Other
4.07E+17,Train na naman!!--&gt;“@ANCALERTS: Police say a Metro-North passenger train has derailed in New York City; some cars in water | via @AP”,Outsiders,Infrastructure and utilities,Related and informative,Firefighter,Derailment,Other
4.07E+17,"RT @BreakingNews: Train involved in derailment was the 05:54 a.m. train from Poughkeepsie, New York, due at Grand Central at 07:43 a.m. - @…",Media,Infrastructure and utilities,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,"RT @BreakingNews: Train involved in derailment was the 05:54 a.m. train from Poughkeepsie, New York, due at Grand Central at 07:43 a.m. - @…",Media,Other Useful Information,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,RT @nycjim: Wow. “@NJerzyFireAlert: AERIAL PICTURE METRO NORTH TRAIN DERAILMENT IN BRONX NYC. @PzFeed http://t.co/yU2ZxnFY9r”,Outsiders,Other Useful Information,Related and informative,Other,Derailment,Other
4.07E+17,"Now a train has derailed in New York...what is happening to this world?!,",Outsiders,Sympathy and support,Related - but not informative,Other,Derailment,other
4.07E+17,RT @PzFeed: TRAIN DERAILMENT IN NEW YORK CITY: -5 TRAINS DERAILED -TRAIN IN THE WATER -3 DEAD -MULTIPLE INJURED http://t.co/TG6cAxsxyS,Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,"RT @roddymansfield: Developing: Passenger train derailed in New York, carriage in the water: http://t.co/uePyUzZqVF",Media,Other Useful Information,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,RT @BreakingNews: Photo: Carriages in New York City train derailment - via Instagram user squintysabre http://t.co/gVtVcivKUV,Media,Other Useful Information,Related and informative,Other,Derailment,Other
4.07E+17,"RT @digtriad: RT: @AP Police say a Metro-North passenger train has derailed in NYC, some cars in water",Media,Infrastructure and utilities,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,RT @YourAnonNews: Metro-North passenger train has derailed in New York City; some cars in water: AP,Media,Infrastructure and utilities,Related and informative,Firefighter,Derailment,USAR
4.07E+17,RT @MichaelSkolnik: aerial photo of the train derailment (via @SheldonDutes4NY) #MetroNorth http://t.co/POLVgPKADG,Media,Other Useful Information,Related and informative,Other,Derailment,other
4.07E+17,"Officials confirm major train derailment in Bronx, NY. Metro north train, multiple injuries reported. Stay with @WFSBnews for updates.",Media,Affected individuals,Related and informative,EMS,Derailment,MMU
4.07E+17,Waking up to news of a train derailment in NYC. Praying for all affected.,Outsiders,Sympathy and support,Related - but not informative,Other,Derailment,other
4.07E+17,RT @YourAnonNews: Metro-North passenger train has derailed in New York City; some cars in water: AP,Media,Other Useful Information,Related and informative,Other,Derailment,other
4.07E+17,"@roddymansfield: Developing: Passenger train derailed in New York, carriage in the water: http://t.co/slVUVsBUzi Fucking Trevor. #GTA",Outsiders,Infrastructure and utilities,Related and informative,Other,Derailment,other
4.07E+17,"RT @AP: UPDATE: A photo of a NYC train derailment taken by a witness shows 8 cars derailed, with none in the water: http://t.co/L1hv7S0MeM …",Media,Affected individuals,Related and informative,Other,Derailment,other
4.07E+17,RT @PzFeed: TRAIN DERAILMENT IN NEW YORK CITY: -5 TRAINS DERAILED -3 DEAD LIVE - http://t.co/ozqVgRtko7 @JoeMaggio http://t.co/Fs4nfXxq2f,Media,Affected individuals,Related and informative,police,Derailment,dispatch
4.07E+17,"Officials confirm major train derailment in Bronx, NY. Metro north train, multiple injuries reported. Stay with @WFSBnews for updates.",Outsiders,Other Useful Information,Related and informative,Other,Derailment,other
4.07E+17,RT @MichaelSkolnik: aerial photo of the train derailment (via @SheldonDutes4NY) #MetroNorth http://t.co/POLVgPKADG,Outsiders,Other Useful Information,Related and informative,Other,Derailment,other
4.07E+17,"Train derailment in the Bronx, New York. Looks like some carriages are in the river. Video by @SheldonDutes4NY  https://t.co/bwMXFDgQgN",Media,Other Useful Information,Related and informative,Other,Derailment,other
4.07E+17,RT @thesundaytimes: Latest: A passenger train has derailed in New York. Multiple injuries reported. (Photo: @KellyWBZ) http://t.co/S0DPo0V3…,Media,Affected individuals,Related and informative,police/ems/firefighter,derailment,dispatch/mmu/usar
4.07E+17,RT @BuzzFeedNews: A Metro-North Passenger Train Has Derailed In New York City http://t.co/KBrauBoILn,Media,Other Useful Information,Related and informative,Other,Derailment,other
4.07E+17,"RT @BBCWorld: New York City train derailment: Witness quoted by @AP says some carriages in water, but unclear from pictures http://t.co/axb…",Media,Other Useful Information,Related and informative,Other,Derailment,other
4.07E+17,"RT @samsteinhp: RT @cnnbrk: At least 2 people have died in train derailment in Bronx, a New York City police source tells CNN. http://t.co/…",Media,Affected individuals,Related and informative,police,Derailment,dispatch
4.07E+17,"RT @cnnbrk: At least 2 people have died in train derailment in Bronx, a New York City police source tells CNN. http://t.co/P3w6ttpXFP",Media,Affected individuals,Related and informative,police,Derailment,dispatch
4.07E+17,RT @ByGinaJewellery: Thought are with those involved in the New York metro derailment. Too much tragedy this weekend!,Outsiders,Sympathy and support,Related - but not informative,Other,Derailment,other
4.07E+17,Holy shit RT @TexasHedger: Pictures of Metro North Train Derailment: http://t.co/O6nE4MRGiu  http://t.co/p5y5hUu6rE  http://t.co/s3GnJtXBPo,Outsiders,Other Useful Information,Related and informative,Other,Derailment,other
4.07E+17,RT @MichaelSkolnik: at least 2 have died in train derailment in the Bronx. #MetroNorth (via @CNN),Media,Affected individuals,Related and informative,police,Derailment,dispatch
4.07E+17,@gregcohen @BreakingNews: Unknown number of injuries in New York City train derailment near Metro-North Spuyten Duyvil station in the Bronx,Media,Affected individuals,Related and informative,police,Derailment,dispatch
4.07E+17,#mta #metronorth #derailment http://t.co/H7gp5fDBI0,Outsiders,Other Useful Information,Related - but not informative,Other,Derailment,other
4.07E+17,Metro-North passenger train derails in NYC: Police and witnesses say a Metro-North passenger train has derailed... http://t.co/OzHjZ28ulV,Media,Other Useful Information,Related and informative,Other,Derailment,other
4.07E+17,RT @SkyNewsBreak: Ap: Police say a Metro-North passenger train has derailed in New York City,Media,Infrastructure and utilities,Related and informative,Other,Derailment,other
4.07E+17,RT @etu_009freshkid: Train Derails in New York City: Police confirm that a Metro-North passenger train has derailed in the Bronx to... http…,Outsiders,Other Useful Information,Related and informative,Other,Derailment,other
4.07E+17,"RT @KeatonFoxNBC5: NEW YORK (AP) -- Fire department: `Multiple injuries' in NYC passenger train derailment, severity unclear.",Media,Affected individuals,Related and informative,police,Derailment,dispatch
4.07E+17,"RT @AP: BREAKING: Fire department: Multiple injuries in NYC passenger train derailment, severity unclear: http://t.co/rfy4zzrXQa -MM",Media,Affected individuals,Related and informative,police,Derailment,dispatch
4.07E+17,"everyone enjoy your sunday roasts and have a lovely sunday,my prayers goes out to those hurt or killed in the train derailment in new york.",Outsiders,Sympathy and support,Related - but not informative,Other,Derailment,other
4.07E+17,"RT @Christie_x: sooo much horrible stuff happening right now, a passenger train has just derailed in New York, hope everyone affected is ok…",Outsiders,Sympathy and support,Related - but not informative,Other,Derailment,other
4.07E+17,"Train derails in New York: A Metro-North train derailed Sunday morning at Spuyten Duyvil station in the Bronx,... http://t.co/xAGZIZFKMa",Media,Other Useful Information,Related and informative,Other,Derailment,other
4.07E+17,Praying everyone on the metro north derailment is ok.,Outsiders,Sympathy and support,Related - but not informative,Other,Derailment,other
4.07E+17,RT @JamieShupak: Metro North train derailment in the Bronx was the 5:54am Poughkeepsie to Grand Central. photo via @danielcohen: http://t.c…,Media,Other Useful Information,Related and informative,Other,Derailment,other
4.07E+17,RT @nycjim: Metro North car at water’s edge after derailment. via @JonMaggio http://t.co/Psac4nLIq8 http://t.co/NLo3vsbwVr,Media,Other Useful Information,Related and informative,Other,Derailment,other
4.07E+17,RT @MichaelSkolnik: aerial photo of the train derailment (via @SheldonDutes4NY) #MetroNorth http://t.co/POLVgPKADG,Outsiders,Other Useful Information,Related and informative,Other,Derailment,other
4.07E+17,RT @nycjim: Wow. “@NJerzyFireAlert: AERIAL PICTURE METRO NORTH TRAIN DERAILMENT IN BRONX NYC. @PzFeed http://t.co/yU2ZxnFY9r”,Outsiders,Other Useful Information,Related and informative,Other,Derailment,other
4.07E+17,"RT @BBCBreaking: A Metro-North passenger train has derailed in New York City, and a number of injuries are reported http://t.co/fISiSFeTm7",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,"RT @AP: BREAKING: Fire department: Multiple injuries in NYC passenger train derailment, severity unclear: http://t.co/rfy4zzrXQa -MM",Media,Affected individuals,Related and informative,dispatch,derailment,dispatch
4.07E+17,RT @WSJ: Breaking: A Metro-North passenger train has derailed in New York City.  http://t.co/fl6ywO6Uvj,Media,Infrastructure and utilities,Related and informative,Other,Derailment,other
4.07E+17,"RT @AFP: #UPDATE: New York train derailment occurred near Spuyten Duyvil station, next to the Hudson River, Fire Dept says http://t.co/0zFw…",Media,Other Useful Information,Related and informative,Other,Derailment,other
4.07E+17,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.,Media,Infrastructure and utilities,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,RT @WSJ: Breaking: A Metro-North passenger train has derailed in New York City.  http://t.co/fl6ywO6Uvj,Media,Infrastructure and utilities,Related and informative,Other,Derailment,other
4.07E+17,"RT @YourAnonNews: At least 3 killed, many injured in NYC train derailment - local media http://t.co/U9geQSnKJr",Media,Affected individuals,Related and informative,police,Derailment,dispatch
4.07E+17,BBC News - New York train crash: Metro-North derailment in Bronx http://t.co/k8jGgzRokO,Media,Other Useful Information,Related and informative,Other,Derailment,other
4.07E+17,RT @jdavidgoodman: MTA is saying possible fatalities in the Metro North derailment. No confirmation yet on number,Outsiders,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,"RT @BBCBreaking: A Metro-North passenger train has derailed in New York City, and a number of injuries are reported http://t.co/fISiSFeTm7",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,"RT @YourAnonNews: At least 3 killed, many injured in NYC train derailment - local media http://t.co/U9geQSnKJr",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,RT @SkyNewsBreak: Ap: Police say a Metro-North passenger train has derailed in New York City,Media,Other Useful Information,Related and informative,Other,Derailment,other
4.07E+17,Praying for those caught in the Metro North derailment in the Bronx this morning... Smh.󾍛 #Lawsuit!!,Outsiders,Sympathy and support,Related - but not informative,Other,Derailment,other
4.07E+17,RT @jdavidgoodman: MTA is saying possible fatalities in the Metro North derailment. No confirmation yet on number,Outsiders,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,RT @WSJ: Breaking: A Metro-North passenger train has derailed in New York City.  http://t.co/fl6ywO6Uvj,Media,Other Useful Information,Related and informative,Other,Derailment,other
4.07E+17,"RT @BBCBreaking: At least 4 people dead and dozens hurt in New York City train derailment, say US media http://t.co/pQkBRmZAL4",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,"RT @BBCBreaking: At least 4 people dead and dozens hurt in New York City train derailment, say US media http://t.co/pQkBRmZAL4",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,"RT @samsteinhp: RT @cnnbrk: At least 2 people have died in train derailment in Bronx, a New York City police source tells CNN. http://t.co/…",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,This Metro-North derailment is horrible. That train must have been going awfully fast for cars to be that far off the tracks.,Outsiders,Other Useful Information,Related - but not informative,Other,Derailment,other
4.07E+17,"RT @NYDailyNews: UPDATE: Four dead, two were ejected from train in @MetroNorth NYC derailment. http://t.co/5849VaOByA Many others injured.",Media,Affected individuals,Related and informative,Other,Derailment,other
4.07E+17,"RT @cnnbrk: At least 2 people have died in train derailment in Bronx, a New York City police source tells CNN. http://t.co/P3w6ttpXFP",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,"RT @BBCBreaking: At least 4 people dead and dozens hurt in New York City train derailment, say US media http://t.co/pQkBRmZAL4",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,WABC-TV: FDNY confirms that there are fatalities in Metro North derailment. Other news outlets reporting 4 deaths.,Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,RT @BreakingNews: Live video: Local news coverage of New York City Metro-North train derailment - @NBCNewYork http://t.co/2pclfJpjjF,Media,Other Useful Information,Related and informative,Other,Derailment,other
4.07E+17,RT @SkyNewsBreak: AP: Fire Department of New York says there are multiple injuries in Metro-North passenger train derailment,Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,"RT @Journalisti: CNN producer Jon Auerbach at scene: At least 4 killed, 40 injured in Bronx train derailment. #metronorth",Media,Affected individuals,Related and informative,police/ems/firefighter,derailment,dispatch/mmu/usar
4.07E+17,"RT @BBCBreaking: At least 4 people dead and dozens hurt in New York City train derailment, say US media http://t.co/pQkBRmZAL4",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,"RT @AFP: #UPDATE: New York train derailment occurred near Spuyten Duyvil station, next to the Hudson River, Fire Dept says http://t.co/0zFw…",Media,Other Useful Information,Related and informative,Other,Derailment,other
4.07E+17,"RT @BBCBreaking: At least 4 people dead and dozens hurt in New York City train derailment, say US media http://t.co/pQkBRmZAL4",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,"Multiple injuries in NYC passenger train derailment, severity unclear, fire department confirms - @AP http://t.co/oioxEYFeE9 #sp4zee",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,"RT @BreakingNews: Numerous serious injuries at the Metro-North train derailment, FDNY spokesman says - @NBCNews; More: http://t.co/bnIJsXYu…",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,"RT @ABC7NY: #BreakingNews update:  FDNY confirms at least 2 dead, 30 injured in Metro-North derailment http://t.co/dAwfbQncwW",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,Feel terrible re Metro North derailment. Rode same line in Sept. Safety record in the past year is thought-provoking. Usually great service.,Outsiders,Sympathy and support,Related - but not informative,Other,Derailment,other
4.07E+17,"Going ro sleep with a heavy heart, and waking up the same way with the added news from the train derailment in nyc :-(:-(:-(",Outsiders,Sympathy and support,Related - but not informative,Other,Derailment,other
4.07E+17,"RT @abc15: Update: 4 dead, 40 injured in New York Metro-North train derailment, reports @cnnbrk.",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,"FDNY: 'Multiple injuries' in Pok-to-NYC train derailment, alternate route provided http://t.co/ohurIKZBOE",Government,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,Amtrak: Service between Boston/Washington is not affected by Metro-North derailment; service held between NYC and Albany.,Government,Infrastructure and utilities,Related and informative,Other,Derailment,other
4.07E+17,"@MichaelSkolnik: UPDATE: at least 4 dead, 40+ injured in Metro North train derailment this morning. #Prayers I'm sooo sad;-(",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,"RT @WNYC: Metro-North Bronx derailment: FDNY says multiple injuries, 130 firefighters on scene. (photo: AP Photo/Edwin Valero) http://t.co/…",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,"RT @Yahoo: RT of AP update: A photo of a NYC train derailment taken by a witness shows 8 cars derailed, with none in the water: http://t.co…",Media,Other Useful Information,Related and informative,Other,Derailment,other
4.07E+17,"RT | @tree_details http://t.co/ArbQtWQqfu http://t.co/oA3JF42iBl At least 4 dead, 48 injured in NYC train derailment.  econ/scad:us-ny",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,“@NBCPhiladelphia: Amtrak Empire service disrupted btw NYC and Albany due to deadly Bronx train derailment. http://t.co/oYZd4UdYdU”,Media,Infrastructure and utilities,Related and informative,Other,Derailment,other
4.07E+17,"RT @RT_com: BREAKING: At least 4 dead, 48 injured in NYC train derailment http://t.co/WYrU4wrnxQ http://t.co/VllW0FPlYF",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,RT @NBCNewYork: UPDATE: Train service on Amtrak Empire Line suspended between Albany and NYC after Metro-North derailment http://t.co/kngvO…,Media,Caution and advice,Related and informative,Other,Derailment,other
4.07E+17,"RT @RT_com: BREAKING: At least 4 dead, 48 injured in NYC train derailment http://t.co/WYrU4wrnxQ http://t.co/VllW0FPlYF",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,"RT @RT_com: BREAKING: At least 4 dead, 48 injured in NYC train derailment http://t.co/WYrU4wrnxQ http://t.co/VllW0FPlYF",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,RT @mikiebarb: Photo of Metro North derailment shows how big a deal this is -- and how dangerously close to water this emergency is: http:/…,Media,Other Useful Information,Related - but not informative,Other,Derailment,other
4.07E+17,RT @AP: AP PHOTO: First responders gather around the derailment of a Metro North passenger train in the Bronx in NYC: http://t.co/d9kcKPVs7…,Media,Other Useful Information,Related and informative,Other,Derailment,other
4.07E+17,"Sources: At least 40 people injured: A Metro-North train derailed Sunday morning in the Bronx, the New York Fi... http://t.co/63kdnXHUTC",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,"RT @AFP: #BREAKING: Four dead, over 20 injured in New York train derailment: US media",Media,Affected individuals,Related and informative,police/ems/firefighter,derailment,dispatch/mmu/usar
4.07E+17,MT @JamieShupak: Metro North train derailment was the 5:54am Poughkeepsie to Grand Central. photo via @danielcohen: http://t.co/svShQPuiAI,Outsiders,Other Useful Information,Related and informative,Other,Derailment,other
4.07E+17,RT @WSJbreakingnews: Four died when a commuter train derailed in New York City.  http://t.co/mpFBOMDroQ,Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,RT @WSJ: Breaking: Four died when a commuter train derailed in New York City.  http://t.co/fl6ywO6Uvj,Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,"RT @RT_com: BREAKING: At least 4 dead, 48 injured in NYC train derailment http://t.co/WYrU4wrnxQ http://t.co/VllW0FPlYF",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,"Sources: At least 40 people injured: A Metro-North train derailed Sunday morning in the Bronx, the New York Fi... http://t.co/RIHHkSbRxG",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,Train derailment on the metro north coming from Poughkeepsie I think they said it's the 504 so if anybody had... http://t.co/4R3qBvAj0Q,Media,Other Useful Information,Related and informative,Other,Derailment,other
4.07E+17,RT @maciric: Live Feed Link for Metro North Derailment in Bronx http://t.co/nuYwlAj0hY,Media,Other Useful Information,Related and informative,Other,Derailment,other
4.07E+17,"RT @RT_com BREAKING: At least 4 dead, 48 injured in NYC train derailment http://t.co/R1ErWQtnYD  http://t.co/ns90NeMd3S",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,"RT @ABC7NY: #BREAKING NEWS:  Officials confirm 4 dead, 67 injured in Metro-North derailment in the Bronx  http://t.co/dAwfbQncwW",Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,FDNY: 'Multiple Injuries' in NYC Train Derailment: Fire department: 'Multiple injuries' in NYC passenger train... http://t.co/mDpTe13QbW,Government,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,@bjam08 train derailment in NYC,Outsiders,Infrastructure and utilities,Related - but not informative,Other,Derailment,other
4.07E+17,RT @nytimes: Developing: At Least 4 Dead in Metro-North Train Crash in the Bronx http://t.co/GT4FWi208x,Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,RT @PzFeed: TRAIN DERAILMENT IN NEW YORK CITY: -130 FIREFIGHTERS ON SCENE -5 TRAINS DERAILED -67 INJURED -4 DEAD PHOTOS - http://t.co/GtJwF…,Media,Affected individuals,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
4.07E+17,RT @ABC: Developing: Fatalities reported after NYC commuter train derailment http://t.co/WXCdsa5ccV http://t.co/e8aom44bZC,Media,Other Useful Information,Related and informative,police/ems/firefighter,Derailment,dispatch/mmu/usar
