Tweet ID,Tweet_Text,Information_Source,Information_Type,Informativeness,First_Responder,Disaster_Type,Secondary_Annotation
3.02E+17,Следователи по УрФО задержали челябинца причастного к бойне на Торнадо  #Chelyabinsk  http://t.co/OSjntPbI,Not labeled,Not labeled,Not related,Other,Meteorite,other
3.02E+17,RT @boroday: Метеорит летит навстречу машине в #Челябинск #chely http://t.co/XmSqAksN с помощью @youtube,Eyewitness,Other Useful Information,Related and informative,Other,Meteorite,other
3.02E+17,RT @Ac0ustic: В челябинске живут суровые люди. Во время снегопада у них вместо снежинок падают метеориты #челябинск,Outsiders,Sympathy and support,Related - but not informative,Other,Meteorite,other
3.02E+17,"RT @RT_com: BREAKING: Explosions over Russia’s Urals region, reportedly a meteor shower, sparked panic in three major cities http://t.co ...",Media,Other Useful Information,Related and informative,Police,Meteorite,dispatch
3.02E+17,RT @Ac0ustic: В челябинске живут суровые люди. Во время снегопада у них вместо снежинок падают метеориты #челябинск,Outsiders,Not applicable,Related - but not informative,Other,Meteorite,other
3.02E+17,RT @kalininru: В Челябинске всё нормально! Берем интервью у очевидцев события! #Челябинск #метеорит #chelly http://t.co/YrRxaGyk,Not labeled,Not labeled,Not related,Other,Meteorite,other
3.02E+17,"Есть сообщения о пострадавших. Пишите пожалуйста, что происходит! #екб  #челябинск #метеорит",Outsiders,Affected individuals,Related - but not informative,Other,Meteorite,other
3.02E+17,RT @buzlol: #челябинск http://t.co/vDCfVb5Y,Not labeled,Not labeled,Not applicable,Other,Meteorite,other
3.02E+17,"RT @magicgirlsue: Let's see, Pope quit, Google was dumped, now a meteor shower in Russia. When should we expect the locusts?",Outsiders,Not applicable,Related - but not informative,Other,Meteorite,other
3.02E+17,RT @YourAnonNews: BREAKING A Footage Meteorite Hitting Russia (#Chelyabinsk). http://t.co/wAMDQlnm,Media,Other Useful Information,Related and informative,Police,Meteorite,dispatch
3.02E+17,RT @ReutersScience: Possible meteor shower reported in eastern Russia http://t.co/CrcLEBza,Media,Other Useful Information,Related - but not informative,Police,Meteorite,dispatch
3.02E+17,"Dear @_konstanta ,  take care with de rainy #метеорит in Russia, or save me a piece.  ✌",Outsiders,Not applicable,Related - but not informative,Other,Meteorite,other
3.02E+17,RT @oleg_kozyrev: Появилось качественное видео падения объекта: http://t.co/cKlrp5en #челябинск #ЧелябинскийМетеорит,Outsiders,Other Useful Information,Related - but not informative,Other,Meteorite,other
3.02E+17,How long until we get a Russian Meteor parody account?,Not labeled,Not labeled,Not related,Other,Meteorite,other
3.02E+17,RT @mtrrrpl: Жители Челябинска уже начали разбирать суперспособности. #chelly #челябинск,Not labeled,Not labeled,Not related,Other,Meteorite,other
3.02E+17,"RT @FPWellman: This is remarkable RT @lindseymastis: VIDEO: Meteor crashes in Russia: http://t.co/mrY7CCfF (via @RT_com, Russia's state- ...",Outsiders,Other Useful Information,Related and informative,Police,Meteorite,dispatch
3.02E+17,Жители Челябинска уже начали разбирать суперспособности. #chelly #челябинск,Outsiders,Not applicable,Related - but not informative,Other,Meteorite,other
3.02E+17,ПИЗДЕЦ. ГДЕ ЖЕ БЫЛ БРЮС УИЛЛИС? #метеорит,Not labeled,Not labeled,Not related,Other,Meteorite,other
3.02E+17,Meteorite crash in #Russia: A missile salvo blew the #meteorite into pieces at an altitude of 20 km: http://t.co/PhKzZZPr,Media,Other Useful Information,Related and informative,Police,Meteorite,dispatch
