Tweet ID,Tweet_Text,Information_Source,Information_Type,Informativeness,First_Responder,Disaster_Type,Secondary_Annotation
4.02E+17,#Oristano celebra gli avieri sardi morti a #Sutri -furono trucidati dai #nazisti nel 1943 #sardegna #guerra... http://t.co/TWxK74YVAv,Not labeled,Not labeled,Not related,Other,Floods,Other
4.02E+17,"RT @hutterdesign: Cala Soraya, la nostra spiaggia preferita a Spargi, arcipelago di La Maddalena,  #Sardegna. http://t.co/X1rWBvLzig RT via…",Not applicable,Not applicable,Related - but not informative,Other,Floods,Other
4.02E+17,"RT @JustElisabetta: #instacollage #family @Gio_BIP , Luigi , Giulio , #summermemories #Sardegna http://t.co/Ao3v1JI34C",Not labeled,Not labeled,Not related,Other,Floods,Other
4.02E+17,#Italy #Sardinia #Cagliari #weekends http://t.co/ZUhJnPZXkF,Not labeled,Not labeled,Not related,Other,Floods,Other
4.02E+17,#Cartoline dalla #Sardegna : la gioia di praticare gli sport preferiti godendo dell'ossigeno e dello iodio di un... http://t.co/mWcGhb0dce,Not labeled,Not labeled,Not related,Other,Floods,Other
4.02E+17,Il #dolce sardo delle spose http://t.co/CLX8bPNgOG #matrimonio #sardegna #sposa #dolci #torte #sardegna #foodporn,Not labeled,Not labeled,Not related,Other,Floods,Other
4.02E+17,"FOTO - Michela Murgia, il vestito del Campiello venduto all'asta per 1.250 euro http://t.co/kOujz8DlhK #sardegna http://t.co/KqPvU72Cmo",Not labeled,Not labeled,Not related,Other,Floods,Other
4.03E+17,RT @la_stampa: Così il #maltempo ha sconvolto la #Sardegna http://t.co/lDHgczN43n http://t.co/8CeGXMXwJ8,Media,Other Useful Information,Related and informative,Other,Floods,Other
4.03E+17,RT @la_stampa: Così il #maltempo ha sconvolto la #Sardegna http://t.co/lDHgczN43n http://t.co/8CeGXMXwJ8,Media,Other Useful Information,Related and informative,Other,Floods,Other
4.03E+17,Maltempo in Sardegna: alluvione nell'Oristano  L'acuta fase di maltempo a causato allagamenti e anche un morto in... http://t.co/vuBaglbMN4,Media,Affected individuals,Related and informative,Other,Floods,Other
4.03E+17,"ALLUVIONE SARDEGNA, il maltempo uccide: una vittima e due dispersi http://t.co/Z5Lb3Cigd0",Media,Affected individuals,Related and informative,Other,Floods,Other
4.03E+17,"L' #italia in queste ore ha un problema serio di cui nessuno parla, la #sardegna nell'oristanese è completamente sott'acqua. Tutto normale?",Outsiders,Other Useful Information,Related and informative,Other,Floods,Other
4.03E+17,"Alluvione in Sardegna, crolla un altro ponte in provincia di Olbia: tante auto coinvolte - Meteo Web http://t.co/O1NV5H1W9y",Media,Infrastructure and utilities,Related and informative,Other,Floods,Other
4.03E+17,"RT @MeteoWeb_eu: #Alluvione in #Sardegna, almeno un morto e 5 dispersi: scenari drammatici [FOTO] --&gt; http://t.co/Cw4YYS5Jb0",Media,Affected individuals,Related and informative,Other,Floods,Other
4.03E+17,"RT @AlienaKent: la tristezza infinita di veder che nessun canale o tg apre una finestra sulla mia #sardegna morti,dispersi,sfollati.sardi,s…",Eyewitness,Sympathy and support,Related and informative,Other,Floods,Other
4.03E+17,RT @DanieleKeshk: @CriticoCinema: #Olbia http://t.co/lsmXVPffFw #EMERGENZA  @EnricoLetta SVEGLIAAAAAAAAAA......#SOS #ESERCITO!!! #SARDEGNA,Outsiders,Other Useful Information,Related - but not informative,Other,Floods,Other
4.03E+17,"RT @TattiMichele: Quattro morti, alcuni dispersi: la #Sardegna non fa notizia neanche quando viene flagellata dal maltempo",Outsiders,Affected individuals,Related and informative,Other,Floods,Other
4.03E+17,"RT @TattiMichele: Quattro morti, alcuni dispersi: la #Sardegna non fa notizia neanche quando viene flagellata dal maltempo",Outsiders,Affected individuals,Related and informative,Other,Floods,Other
4.03E+17,RT @la_stampa: Così il #maltempo ha sconvolto la #Sardegna http://t.co/lDHgczN43n http://t.co/8CeGXMXwJ8,Media,Sympathy and support,Related and informative,Other,Floods,Other
