Tweet ID,Tweet_Text,Information_Source,Information_Type,Informativeness,First_Responder,Disaster_Type,Secondary_Annotation
3.27E+17,RT @Projonmo13: 1st Lady speaker of #Bangladesh &amp; Hefajot-e-Rajakar! #shahbag #saveBangladesh যে সংসদের স্পিকার একজন নারী (cont) http:/…,Not labeled,Not labeled,Not related,Other,Collapse,other
3.27E+17,#Bangladesh a country of enforced disappearances and extra judicial killing! http://t.co/Vcb2ukuiy2 #HumanRights #HR #Amnesty #HRW #Geneva,Not labeled,Not labeled,Not related,Other,Collapse,other
3.27E+17,"RT @AJELive: A building in #Bangladesh has collapsed killing up to three people and trapping more, according to agencies. More soon.",Media,Affected individuals,Related and informative,EMS/Firefighter,Collapse,MMU/USAR
3.27E+17,"RT @drnhsarja: 8-story commercial building collapse in #Bangladesh; 3 dead , many feared trapped! :( #fb",Media,Affected individuals,Related and informative,EMS/Firefighter,Collapse,MMU/USAR
3.27E+17,NDTV: Bangladesh building collapse kills at least three http://t.co/pOIsYAObgX,Media,Affected individuals,Related and informative,EMS,Collapse,MMU
3.27E+17,"Bangladesh building collapse kills at least three, several injured: At least three people were killed an... http://t.co/qbaixfsgZy #News",Outsiders,Affected individuals,Related and informative,EMS,Collapse,MMU
3.27E+17,"RT @BDnews: Garment factory building collapses in Bangladesh, 25 dead: TV - 路透社 http://t.co/ztvCEszd5v #Bangladesh",Media,Affected individuals,Related and informative,EMS/Firefighter,Collapse,MMU/USAR
3.27E+17,@HarpreetS_Kohli this will continue till Jamaat is out of power! #Bangladesh #Pakistan,Not labeled,Not labeled,Not related,Other,Collapse,other
3.27E+17,"Bangladesh Building Collapse: Fatalities Reported, Others Feared Trapped: DHAKA, Bangladesh — An 8-story comme... http://t.co/m98wvEsL0W",Outsiders,Affected individuals,Related and informative,EMS/Firefighter,Collapse,MMU/USAR
3.27E+17,"Worst Outcome of Dead Capitalism: Inhumane Story of Savar Building Collapse  Yesterday, April 23, 2013, BRAC Bank... http://t.co/pMaxiVSR7v",Outsiders,Other Useful Information,Related and informative,Firefighter,Collapse,USAR
3.27E+17,বুধবার রাষ্ট্রপতির শপথ : অপেক্ষায় বঙ্গভবন http://t.co/KIFY6o8omv #বলসবদ #bangla #banglanews #bangladesh,Not labeled,Not labeled,Not related,Other,Collapse,other
3.27E+17,Deadly building collapse in Bangladesh  http://t.co/uoRLgHnZL0 @AJEnglishさんから,Media,Other Useful Information,Related and informative,EMS/Firefighter,Collapse,MMU/USAR
3.27E+17,"RT @BreakingNews: Update: At least 32 people killed in Bangladesh building collapse, army official says - @AP",Media,Affected individuals,Related and informative,EMS/Firefighter,Collapse,MMU/USAR
3.27E+17,"RT @BreakingNews: Update: At least 32 people killed in Bangladesh building collapse, army official says - @AP",Media,Affected individuals,Related and informative,EMS/Firefighter,Collapse,MMU/USAR
3.27E+17,RT @SBSNews: BREAKING NEWS: At least 60 dead in Bangladesh building collapse - more details to come,Media,Affected individuals,Related and informative,EMS/Firefighter,Collapse,MMU/USAR
