Tweet ID,Tweet_Text,Information_Source,Information_Type,Informativeness,First_Responder,Disaster_Type,Secondary_Annotation
3.45E+17,RT @_SGkid: They should spin the Flyer at a very high speed so Singapore will be cooler and blow the haze away.,Not applicable,Not applicable,Related - but not informative,Other,Haze,other
3.46E+17,"RT @sgbroadcast: [ST] Haze update: Clearer skies over Singapore on Saturday with PSI at 'moderate' range: June 16, 2... http://t.co/qyZhDSX…",Media,Other Useful Information,Related and informative,Other,Haze,other
3.46E+17,RT @ChannelNewsAsia: #HAZE UPDATE: #PSI is 80 at 5pm. Here's .@NEAsg's map showing PSI at various locations in #Singapore http://t.co/gddpD…,Media,Other Useful Information,Related and informative,firefighter,Haze,hazmat
3.46E+17,RT @thepanditspeaks: Haze in Singapore continues due to Sumatra Forest fires.Feels like hill station sans the chill...,Eyewitness,Other Useful Information,Related and informative,firefighter,Haze,hazmat
3.46E+17,RT @TradingJeremy: Pall of throat-scratching haze enveloping Singapore today. Who turned the smoke machine on in Indonesia this time? Cough,Eyewitness,Other Useful Information,Related and informative,Other,Haze,other
3.46E+17,Shit....... #Indonesia; SERIOUSLY?!?!?! #haze #Singapore 😡 http://t.co/G3qlzs2TaH,Not applicable,Not applicable,Related - but not informative,Other,Haze,other
3.47E+17,"RT @CrispinLim: @STcom: #Haze update: 3-hour PSI climbs to 95, says @NEAsg. #sghaze Is it an asian thing to get everything to 100?",Outsiders,Caution and advice,Related and informative,Other,Haze,other
3.47E+17,"RT @alvarofong: If only we could transform all the haze in Singapore to cold, fresh mist. Ahhh,  that would be amazing.",Eyewitness,Not applicable,Related - but not informative,Other,Haze,other
3.47E+17,"RT @ChannelNewsAsia: #SGHAZE: PSI reading hits 100 at 2pm, on brink of unhealthy level.",Media,Other Useful Information,Related and informative,firefighter,Haze,hazmat
3.47E+17,"Well where's my gas mask RT @ChannelNewsAsia: #SGHAZE: PSI reading hits 100 at 2pm, on brink of unhealthy level.",Eyewitness,Caution and advice,Related and informative,firefighter,Haze,hazmat
3.47E+17,“@surenjerrymyaah: The sun and haze will soon set Singapore ablaze”,Eyewitness,Sympathy and support,Related - but not informative,Other,Haze,other
3.47E+17,Lol lol ! Yesterday is Melaka Kenna the haze. Today is Singapore 😂,Eyewitness,Sympathy and support,Related - but not informative,other,Haze,other
3.47E+17,RT @2SevenApril_: Okay guys one way to make the haze go away from Singapore is to put your fans at the window and blow the haze away.,Eyewitness,Other Useful Information,Related - but not informative,Other,Haze,other
3.47E+17,NewsInSG: Haze approaches 'unhealthy' level in Singapore: Singapore's haze situation worsened on Mo... http://t.co/ukVmx2QJQD #Singapore,Media,Caution and advice,Related and informative,firefighter,Haze,hazmat
3.47E+17,RT @FieMitch: Indonesia is too kind to send their smoke/haze to singapore because they know there's dengue cases here. Hopefully we are mos…,Eyewitness,Other Useful Information,Related - but not informative,Other,Haze,other
3.47E+17,RT @ZoolHillMe: What if the haze is not a haze but a toxic gas meant to depopulate singapore? 😮,Not applicable,Not applicable,Related - but not informative,OTher,Haze,other
3.47E+17,HAHAHAHAH CAN YOU BELIEVE THIS TREND . #SGHAZE #PSI,Not applicable,Affected individuals,Related - but not informative,Other,Haze,other
3.47E+17,Made a right decision not to explore Singapore for some street photography.     Whatta a haze! http://t.co/2b2HsPH1Qw,Eyewitness,Not applicable,Related - but not informative,Other,Haze,other
3.47E+17,RT @ChannelNewsAsia: #Haze reaches ‘unhealthy’ level in #Singapore. PSI is 105 at 3pm. #SGHAZE,Media,Caution and advice,Related and informative,firefighter,Haze,hazmat
3.47E+17,RT @livinginsg: Indonesia just what the hell is on fire over there?  The haze in Singapore is sibei bad now.,Eyewitness,Other Useful Information,Related - but not informative,Other,Haze,other
3.47E+17,"Foreigners, this will happen when you come here to holiday or take pictures of Singapore! Happy Haze Day! http://t.co/oJEgtPVkgq",Eyewitness,Other Useful Information,Related - but not informative,Other,Haze,other
3.47E+17,"RT @theREALeticia: Boyboy, you can hashtag all your instagram photos today with #nofilter. #SGhaze",Not labeled,Not labeled,Not related,Other,Haze,other
3.47E+17,RT @themediaslut: Smog Gets Into My Eyes - Heavy Haze in Singapore.. http://t.co/9IZJiL6F72,Eyewitness,Other Useful Information,Related and informative,firefighter,Haze,hazmat
3.47E+17,"RT @xPentagon: Singapore Weather :  Hot Ho H Hu Hum Humi Humid Humi Hum Hu H Ha Haz Haze Foreigners , Welcome to Singapore.",Eyewitness,Sympathy and support,Related - but not informative,Other,Haze,other
3.47E+17,"RT @xPentagon: Singapore Weather :  Hot Ho H Hu Hum Humi Humid Humi Hum Hu H Ha Haz Haze Foreigners , Welcome to Singapore.",Eyewitness,Affected individuals,Related - but not informative,Other,Haze,other
3.47E+17,"RT @STcom: #Sghaze update: PSI is 111 at 4pm, in the unhealthy range",Media,Other Useful Information,Related and informative,firefighter,Haze,hazmat
3.47E+17,"RT @STcom: #Sghaze update: PSI is 111 at 4pm, in the unhealthy range",Media,Other Useful Information,Related and informative,firefighter,Haze,hazmat
3.47E+17,"RT @HarithForstner: Happy Haze Day, Singapore.",Not applicable,Affected individuals,Related - but not informative,Other,Haze,other
3.47E+17,"RT @xo_falsehopes: A girl with 83 exs, slash cases here and there, haze suddenly comes up.  WTF IS HAPPENING TO SINGAPORE 😪",Not applicable,Not applicable,Related - but not informative,Other,Haze,other
3.47E+17,"RT @girlforeverPBG: Despite the haze, the construction workers are still doing their job to make Singapore look good. Yup, those people you…",Eyewitness,Sympathy and support,Related - but not informative,Other,Haze,other
3.47E+17,RT @SGTeacherSays: PSI level is going up. Seems like theSingaporean's SIGH level is also rising. #SGHaze,Eyewitness,Other Useful Information,Related - but not informative,Other,Haze,other
3.47E+17,RT @madebyjw: I don't know whether its the haze or I didn't clean my spectacle lens. #sgHaze,Eyewitness,Not applicable,Related - but not informative,Other,Haze,other
3.47E+17,It's getting thicker. Holycow.  #SGHAZE,Eyewitness,Other Useful Information,Related and informative,Other,Haze,other
3.47E+17,"My throat dun feel good! @STcom: #Sghaze update: PSI is 111 at 4pm, in the unhealthy range",Eyewitness,Caution and advice,Related and informative,Other,Haze,other
3.47E+17,RT @RidhwanAzman: I m dying . #SGHAZE http://t.co/a8024Gxyg7,Not labeled,Not labeled,Not related,Other,Haze,other
3.47E+17,"RT @STcom: #Sghaze update: PSI is 110 at 5pm, in the unhealthy range @NEAsg",Media,Caution and advice,Related and informative,firefighter,Haze,hazmat
3.47E+17,RT @ch8sg: The haze is pretty bad. Do take care of yourselves and try to stay indoors. #SGHAZE,Media,Caution and advice,Related - but not informative,Other,Haze,other
3.47E+17,"RT @ChannelNewsAsia: #SGHAZE UPDATE: PSI at 5pm is 110, which is in the unhealthy range.",Media,Caution and advice,Related and informative,firefighter,Haze,hazmat
3.47E+17,so between the haze and dengue everyone should stay locked up inside and all work should be cancelled do you concur? #singapore,Eyewitness,Caution and advice,Related - but not informative,Other,Haze,other
3.47E+17,RT @RidhwanAzman: I sang as far as you can see in Saving Gaia MV... But I can't even see my hands now with this haze. #sghaze,Eyewitness,Not applicable,Related - but not informative,Other,Haze,other
3.47E+17,"Siao “@ShadowJaeJes Hahaha someone said if we spin the Singapore flyer fast enough, we may be able to blow the haze back! ROFL!”",Eyewitness,Not applicable,Related - but not informative,Other,Haze,other
3.47E+17,"RT @STcom: #SgHaze update: PSI is 111 at 6pm, in the unhealthy range @NEAsg",Media,Caution and advice,Related and informative,firefighter,Haze,hazmat
3.47E+17,"RT @Keeefyboy: Please rotate the Singapore Flyer and face it towards Indo, and turn it at 1000x the speed it is and blow the fucking haze b…",Eyewitness,Sympathy and support,Related - but not informative,Other,Haze,other
3.47E+17,RT @wordlesssong: RT ChannelNewsAsia: PSI now at 111. KarenTa30387079 sent us these before &amp; after picture of haze in Singapore #SGHaze htt…,Media,Caution and advice,Related and informative,firefighter,Haze,hazmat
3.47E+17,RT @STcom: PICTURES: #Singapore urges #Indonesia to take immediate measures over worsening #haze http://t.co/8C8dsq2f5p http://t.co/mXMP09E…,Media,Other Useful Information,Related - but not informative,Other,Haze,other
3.47E+17,RT @SGStudentsSay: Thank god the #sghaze does not affect our Internet connection.,Eyewitness,Sympathy and support,Related - but not informative,Other,Haze,other
3.47E+17,"RT @xPentagon: Singapore Weather :  Hot Ho H Hu Hum Humi Humid Humi Hum Hu H Ha Haz Haze Foreigners , Welcome to Singapore.",Eyewitness,Not applicable,Related - but not informative,Other,Haze,other
3.47E+17,RT @ChannelNewsAsia: Haze hits unhealthy level in Singapore http://t.co/WvkqzUBU8v,Media,Other Useful Information,Related - but not informative,firefighter,Haze,hazmat
3.47E+17,"RT @girlforeverPBG: Despite the haze, the construction workers are still doing their job to make Singapore look good. Yup, those people you…",Eyewitness,Sympathy and support,Related and informative,Other,Haze,other
3.47E+17,"RT @xo_falsehopes: A girl with 83 exs, slash cases here and there, haze suddenly comes up.  WTF IS HAPPENING TO SINGAPORE 😪",Not applicable,Affected individuals,Related - but not informative,Other,Haze,other
3.47E+17,Maybe the reason why singapore is hazy is because there is lots of haze in singapore? I think so.,Eyewitness,Other Useful Information,Related - but not informative,Other,Haze,other
3.47E+17,"RT @_XiiaoHuii_: Singapore is like celebrating Halloween, so much haze.",Eyewitness,Affected individuals,Related - but not informative,Other,Haze,other
3.47E+17,"RT @SchoolprobIems: Singapore should build something similar to Singapore Flyer but call it the Singapore Fan so when the haze comes, we ca…",Government,Affected individuals,Related - but not informative,Other,Haze,other
3.47E+17,RT @SGStudentsSay: Thank god the #sghaze does not affect our Internet connection.,Outsiders,Sympathy and support,Related - but not informative,Other,Haze,other
3.47E+17,RT @ChannelNewsAsia: PSI in Singapore is 117 as of 7pm. MAP shows #SGHaze situation in relation to forest fires in Indonesia http://t.co/jD…,Media,Caution and advice,Related and informative,firefighter,Haze,hazmat
3.47E+17,"RT @theREALeticia: #SGhaze is now 111. Quick girlgirl, make a wish!",Eyewitness,Other Useful Information,Related - but not informative,firefighter,Haze,hazmat
3.47E+17,Guess what you buy will keep going up? #SureWinMoney #SgHaze,Not applicable,Not applicable,Related - but not informative,Other,Haze,other
3.47E+17,RT @SoshiIon: Yes Singapore should have this hahaha #sghaze http://t.co/fPBintQH0T,Not labeled,Not labeled,Not related,Other,Haze,other
3.47E+17,"RT @MakKauTakAjar: It's only haze. If it snows in Singapore, better start praying...",Eyewitness,Sympathy and support,Related - but not informative,Other,Haze,other
3.47E+17,"#sghaze , West zone area kena rabak sial !!",Eyewitness,Not applicable,Related - but not informative,Other,Haze,other
3.47E+17,RT @mhdsyz: Why are you guys putting all the blame on Indonesia? Singapore's factory still contribute to this haze. #justsaying,Eyewitness,Other Useful Information,Related - but not informative,Other,Haze,other
3.47E+17,"RT @SchoolprobIems: Singapore should build something similar to Singapore Flyer but call it the Singapore Fan so when the haze comes, we ca…",Eyewitness,Not applicable,Related - but not informative,Other,Haze,other
3.47E+17,RT @NauffalOneLove: Singapore flyer should upgrade to prevent Singapore kena HAZE http://t.co/K2URMJqlte,Eyewitness,Sympathy and support,Related - but not informative,Other,Haze,other
3.47E+17,RT @minipotato__: Singapore should let us experience snow not haze !!!,Eyewitness,Affected individuals,Related - but not informative,Other,Haze,other
3.47E+17,"RT @SoSingaporean: PSI so high already, why haven't announce school close yet? #sghaze #sosingaporean",Eyewitness,Not applicable,Related - but not informative,firefighter,Haze,hazmat
3.47E+17,"“@SoSingaporean: PSI so high already, why haven't announce school close yet? #sghaze #sosingaporean”",Eyewitness,Not applicable,Related - but not informative,firefighter,Haze,hazmat
3.47E+17,"RT @SchoolprobIems: Singapore should build something similar to Singapore Flyer but call it the Singapore Fan so when the haze comes, we ca…",Government,Not applicable,Related - but not informative,Other,Haze,other
3.47E+17,"RT @STcom: #SgHaze update: PSI is 140 at 8pm, the highest since 2006",Media,Caution and advice,Related and informative,firefighter,Haze,hazmat
3.47E+17,"Are you crying?  BEFORE: ‘No, I am not crying, sand got into my eyes.’  AFTER: ‘No, got haze…’  #SgHaze",Not applicable,Other Useful Information,Related - but not informative,Other,Haze,other
3.47E+17,"RT @STcom: #SgHaze update: PSI is 140 at 8pm, the highest since 2006",Media,Caution and advice,Related and informative,firefighter,Haze,hazmat
3.47E+17,"Its 140 PSI now, Stay indoor, stay healthy! #singapore #sghaze",Eyewitness,Caution and advice,Related and informative,Other,Haze,other
3.47E+17,RT @SGStudentsSay: Thank god the #sghaze does not affect our Internet connection.,Eyewitness,Other Useful Information,Related and informative,Other,Haze,other
3.47E+17,"“@STcom: #SgHaze update: PSI is 140 at 8pm, the highest since 2006” psi pls",Media,Caution and advice,Related and informative,firefighter,Haze,hazmat
3.47E+17,RT @AQVAAAA: The haze in singapore ruin my day,Eyewitness,Affected individuals,Related - but not informative,Other,Haze,other
3.47E+17,RT @Hairulollipop: Exactly. #haze #sghaze http://t.co/RuYKSUjLKy,Outsiders,Not applicable,Related - but not informative,Other,Haze,other
3.47E+17,RT @imperfxction_: The haze make singapore look like genting but singapore is still so hot while genting is so cold and cooling.,Eyewitness,Other Useful Information,Related - but not informative,Other,Haze,other
3.47E+17,RT @vanzperry: Singapore flyer need to upgrade to this for haze prevention #SGhaze http://t.co/7ylJkJdDUB,Eyewitness,Other Useful Information,Related - but not informative,Other,Haze,other
