Tweet ID,Tweet_Text,Information_Source,Information_Type,Informativeness,First_Responder,Disaster_Type,Secondary_Annotation
2.92E+17,"RT @AdmireAriana: Heat wave in Australia. Flooding in Jakarta, Indonesia. The world is going wrong.",Not labeled,Not labeled,Not related,Police,Flood,dispatch
2.92E+17,"RT @AdmireAriana: Heat wave in Australia. Flooding in Jakarta, Indonesia. The world is going wrong.",Outsiders,Other Useful Information,Related - but not informative,Police,Flood,dispatch
2.92E+17,Jakarta floods leave hundreds of thousands homeless - Australia Network News - ABC News http://t.co/ZsAHzAG9,Media,Not applicable,Related and informative,Police,Flood,dispatch
2.92E+17,"Bush fires in Australia, deadly flooding in Indonesia, and probably far worse winters elsewhere, but no, 1000+ schools closed, flights",Outsiders,Other Useful Information,Related and informative,Police,Flood,dispatch
2.93E+17,VIDEO - A world of contrasts. We freeze whilst Australia swelters &amp; is threatened by flash floods: http://t.co/JPSx1mLv #weather #geography,Outsiders,Affected individuals,Related - but not informative,Other,Flood,other
2.93E+17,Probe opens way for Queensland floods class action - The Australian: Brisbane TimesProbe opens way for Queenslan... http://t.co/JqtGOnlY,Media,Affected individuals,Related and informative,Police,Flood,dispatch
2.93E+17,"RT @WeFightForFair: Media release from this morning's press conference on our #qldfloods class action. We have a strong case, get on boa ...",Media,Caution and advice,Related and informative,Other,Flood,other
2.93E+17,RT @cycloneupdate: Predicted rainfall over the next 48 hours in FNQ. It's gonna get very wet.#bigwet http://t.co/Kl3aR7E8,Media,Caution and advice,Related and informative,Police,Flood,dispatch
2.93E+17,RT @abcnews: Thousands of Queensland flood victims join possible class action against State Government http://t.co/Z0gNZRB3,Media,Other Useful Information,Related and informative,Police,Flood,dispatch
2.93E+17,RT @QLDOnline: Qld floods class action 'could set record' http://t.co/FGWVocFO #qld,Media,Other Useful Information,Related and informative,Other,Flood,other
2.94E+17,Queensland flood victims join action against Government: -- Delivered by Feed43 service http://t.co/vQXafWmL,Outsiders,Affected individuals,Related and informative,Police,Flood,dispatch
2.94E+17,Current centre of Ex-TC Oswald is 40km WNW of Cooktown and moving in a SSE direction at about 18 kilometres per hour. #bigwet #qld,Media,Caution and advice,Related and informative,Other,Flood,other
2.94E+17,RT @QPSmedia: #bigwet Bruce H'Way Tully to Silky Oak closed.,Media,Infrastructure and utilities,Related and informative,Other,Flood,other
2.94E+17,RT @QPSmedia: #bigwet Bruce H'Way Tully to Silky Oak closed.,Media,Infrastructure and utilities,Related and informative,OTher,Flood,other
2.94E+17,"#QLD  Police: #bigwet Bruce H'Way near Mobil Service Station &amp; Butler St, Tully... http://t.co/pNxFvjoC",Government,Caution and advice,Related and informative,other,Flood,other
2.94E+17,PLEASE be patient &amp; drive carefully - it's better to arrive home from work a little late today than not make it at all. #bigwet #cairns,Outsiders,Caution and advice,Related - but not informative,Other,Flood,other
2.94E+17,23/16:03 EST Flood Warning - Coastal Rivers - North (QLD) http://t.co/ca0eFXz0 #BIGWET #QLD UPDATED ITEM http://t.co/jlvcwuUY,Eyewitness,Caution and advice,Related and informative,Police/Firefighter,Flood,dispatch/cert
2.94E+17,RT @tsvnq: Water across several parts of Hugh Street. Avoid if possible. #townsville #nq #bigwet,Eyewitness,Caution and advice,Related and informative,Police/Firefighter,Flood,dispatch/cert
2.94E+17,Can we keep him? MT @Henry_B68: You know the#bigwet is here when you find frogs in your home. http://t.co/xDNY12RP,Not labeled,Not labeled,Not related,Other,Flood,other
2.94E+17,"Weather in Australia is stupid! Heat wave and fires in one place, flooding in another and heavy rain in another!",Outsiders,Other Useful Information,Related - but not informative,Other,Flood,other
2.94E+17,It isn't over just yet: http://t.co/dKdwavUJ #FNQ #BigWet,Not labeled,Not labeled,Not related,Other,Flood,other
2.94E+17,"Ex-Cyclone Oswald flooding continues. Pic from Ingham, Queensland http://t.co/ybN2M4h5",Media,Other Useful Information,Related and informative,Police,Flood,dispatch
2.94E+17,"#QLD 24/08:19 EST Flood Warning - Macintyre, Weir &amp; Border Rivers (QLD): #QLD 24/08:19 EST Flood Warning - Macin... http://t.co/238a3NrE",Media,Caution and advice,Related and informative,police/ems,Flood,dispatch/cert
2.94E+17,RT @PeterDoherty7: MAP: New Bureau of Meteorology projection for rainfall across Australia Day Long Weekend #bigwet http://t.co/Vg35sGd2,Media,Caution and advice,Related and informative,Other,Flood,other
2.94E+17,Latest road closures from Rockhampton Regional Council #bigwet https://t.co/YFdzUxnc,Media,Infrastructure and utilities,Related and informative,police,Flood,TCSU
2.94E+17,"just saw the news, queensland is starting to flood, in between bushfires, cyclones, snow storms, and floods are... http://t.co/SjeaqMox",Outsiders,Infrastructure and utilities,Related and informative,other,Flood,other
